group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Impulse,avx2 flush denorm,,,,935289.0,ns,24
Impulse,avx2 flush denorm,,,,1886108.0,ns,48
Impulse,avx2 flush denorm,,,,2949030.0,ns,72
Impulse,avx2 flush denorm,,,,3748279.0,ns,96
Impulse,avx2 flush denorm,,,,4777413.0,ns,120
Impulse,avx2 flush denorm,,,,5649119.0,ns,144
Impulse,avx2 flush denorm,,,,6653764.0,ns,168
Impulse,avx2 flush denorm,,,,7538146.0,ns,192
Impulse,avx2 flush denorm,,,,8626754.0,ns,216
Impulse,avx2 flush denorm,,,,9732564.0,ns,240
Impulse,avx2 flush denorm,,,,10885089.0,ns,264
Impulse,avx2 flush denorm,,,,11159992.0,ns,288
Impulse,avx2 flush denorm,,,,12064574.0,ns,312
Impulse,avx2 flush denorm,,,,13049235.0,ns,336
Impulse,avx2 flush denorm,,,,13881590.0,ns,360
Impulse,avx2 flush denorm,,,,14967555.0,ns,384
Impulse,avx2 flush denorm,,,,15940938.0,ns,408
Impulse,avx2 flush denorm,,,,16750372.0,ns,432
Impulse,avx2 flush denorm,,,,17957184.0,ns,456
Impulse,avx2 flush denorm,,,,19323863.0,ns,480
Impulse,avx2 flush denorm,,,,19579296.0,ns,504
Impulse,avx2 flush denorm,,,,20538413.0,ns,528
Impulse,avx2 flush denorm,,,,21302693.0,ns,552
Impulse,avx2 flush denorm,,,,22163556.0,ns,576
Impulse,avx2 flush denorm,,,,23805482.0,ns,600
Impulse,avx2 flush denorm,,,,24067695.0,ns,624
Impulse,avx2 flush denorm,,,,24980279.0,ns,648
Impulse,avx2 flush denorm,,,,26095606.0,ns,672
Impulse,avx2 flush denorm,,,,27456415.0,ns,696
Impulse,avx2 flush denorm,,,,28817908.0,ns,720
Impulse,avx2 flush denorm,,,,28941287.0,ns,744
Impulse,avx2 flush denorm,,,,29854646.0,ns,768
Impulse,avx2 flush denorm,,,,30917178.0,ns,792
Impulse,avx2 flush denorm,,,,32399626.0,ns,816
Impulse,avx2 flush denorm,,,,32547785.0,ns,840
Impulse,avx2 flush denorm,,,,33316795.0,ns,864
Impulse,avx2 flush denorm,,,,34357922.0,ns,888
Impulse,avx2 flush denorm,,,,35245192.0,ns,912
Impulse,avx2 flush denorm,,,,35963253.0,ns,936
Impulse,avx2 flush denorm,,,,38698004.0,ns,960
Impulse,avx2 flush denorm,,,,38493692.0,ns,984
Impulse,avx2 flush denorm,,,,39051251.0,ns,1008
Impulse,avx2 flush denorm,,,,40795763.0,ns,1032
Impulse,avx2 flush denorm,,,,41052986.0,ns,1056
Impulse,avx2 flush denorm,,,,41972514.0,ns,1080
Impulse,avx2 flush denorm,,,,42956199.0,ns,1104
Impulse,avx2 flush denorm,,,,44597059.0,ns,1128
Impulse,avx2 flush denorm,,,,45133651.0,ns,1152
Impulse,avx2 flush denorm,,,,45854556.0,ns,1176
Impulse,avx2 flush denorm,,,,47778599.0,ns,1200
Impulse,avx2 flush denorm,,,,48303685.0,ns,1224
Impulse,avx2 flush denorm,,,,49221127.0,ns,1248
Impulse,avx2 flush denorm,,,,49949333.0,ns,1272
Impulse,avx2 flush denorm,,,,50693083.0,ns,1296
Impulse,avx2 flush denorm,,,,51401220.0,ns,1320
Impulse,avx2 flush denorm,,,,53032226.0,ns,1344
Impulse,avx2 flush denorm,,,,53324371.0,ns,1368
Impulse,avx2 flush denorm,,,,54126670.0,ns,1392
Impulse,avx2 flush denorm,,,,54900540.0,ns,1416
Impulse,avx2 flush denorm,,,,55724038.0,ns,1440
Impulse,avx2 flush denorm,,,,56912364.0,ns,1464
Impulse,avx2 flush denorm,,,,58678432.0,ns,1488
Impulse,avx2 flush denorm,,,,58953601.0,ns,1512
Impulse,avx2 flush denorm,,,,59196938.0,ns,1536
Impulse,avx2 flush denorm,,,,60594966.0,ns,1560
Impulse,avx2 flush denorm,,,,61294542.0,ns,1584
Impulse,avx2 flush denorm,,,,62654432.0,ns,1608
Impulse,avx2 flush denorm,,,,63200863.0,ns,1632
Impulse,avx2 flush denorm,,,,64419697.0,ns,1656
Impulse,avx2 flush denorm,,,,65663457.0,ns,1680
Impulse,avx2 flush denorm,,,,66040368.0,ns,1704
Impulse,avx2 flush denorm,,,,66813880.0,ns,1728
Impulse,avx2 flush denorm,,,,67956175.0,ns,1752
Impulse,avx2 flush denorm,,,,68694054.0,ns,1776
Impulse,avx2 flush denorm,,,,70761812.0,ns,1800
