group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Impulse,avx2 flush denorm,,,,979321.0,ns,20
Impulse,avx2 flush denorm,,,,1963168.0,ns,40
Impulse,avx2 flush denorm,,,,2876166.0,ns,60
Impulse,avx2 flush denorm,,,,3756533.0,ns,80
Impulse,avx2 flush denorm,,,,4694213.0,ns,100
Impulse,avx2 flush denorm,,,,5772920.0,ns,120
Impulse,avx2 flush denorm,,,,6633182.0,ns,140
Impulse,avx2 flush denorm,,,,7525283.0,ns,160
Impulse,avx2 flush denorm,,,,8442149.0,ns,180
Impulse,avx2 flush denorm,,,,9321516.0,ns,200
Impulse,avx2 flush denorm,,,,10344320.0,ns,220
Impulse,avx2 flush denorm,,,,11255026.0,ns,240
Impulse,avx2 flush denorm,,,,12127985.0,ns,260
Impulse,avx2 flush denorm,,,,13058140.0,ns,280
Impulse,avx2 flush denorm,,,,13911787.0,ns,300
Impulse,avx2 flush denorm,,,,14882638.0,ns,320
Impulse,avx2 flush denorm,,,,15838078.0,ns,340
Impulse,avx2 flush denorm,,,,16754653.0,ns,360
Impulse,avx2 flush denorm,,,,17734660.0,ns,380
Impulse,avx2 flush denorm,,,,18697762.0,ns,400
Impulse,avx2 flush denorm,,,,19446218.0,ns,420
Impulse,avx2 flush denorm,,,,20485209.0,ns,440
Impulse,avx2 flush denorm,,,,21315717.0,ns,460
Impulse,avx2 flush denorm,,,,22887538.0,ns,480
Impulse,avx2 flush denorm,,,,23310963.0,ns,500
Impulse,avx2 flush denorm,,,,24261909.0,ns,520
Impulse,avx2 flush denorm,,,,25254058.0,ns,540
Impulse,avx2 flush denorm,,,,27048405.0,ns,560
Impulse,avx2 flush denorm,,,,27928747.0,ns,580
Impulse,avx2 flush denorm,,,,29019661.0,ns,600
Impulse,avx2 flush denorm,,,,29312293.0,ns,620
Impulse,avx2 flush denorm,,,,30214650.0,ns,640
Impulse,avx2 flush denorm,,,,31236846.0,ns,660
Impulse,avx2 flush denorm,,,,32435825.0,ns,680
Impulse,avx2 flush denorm,,,,32864679.0,ns,700
Impulse,avx2 flush denorm,,,,34246843.0,ns,720
Impulse,avx2 flush denorm,,,,34316567.0,ns,740
Impulse,avx2 flush denorm,,,,35174481.0,ns,760
Impulse,avx2 flush denorm,,,,36265929.0,ns,780
Impulse,avx2 flush denorm,,,,37046498.0,ns,800
Impulse,avx2 flush denorm,,,,38250700.0,ns,820
Impulse,avx2 flush denorm,,,,39294408.0,ns,840
Impulse,avx2 flush denorm,,,,40148738.0,ns,860
Impulse,avx2 flush denorm,,,,41122143.0,ns,880
Impulse,avx2 flush denorm,,,,41907757.0,ns,900
Impulse,avx2 flush denorm,,,,43301850.0,ns,920
Impulse,avx2 flush denorm,,,,43480066.0,ns,940
Impulse,avx2 flush denorm,,,,45365617.0,ns,960
Impulse,avx2 flush denorm,,,,46039001.0,ns,980
Impulse,avx2 flush denorm,,,,46443473.0,ns,1000
Impulse,avx2 flush denorm,,,,47636893.0,ns,1020
Impulse,avx2 flush denorm,,,,49750910.0,ns,1040
Impulse,avx2 flush denorm,,,,50538397.0,ns,1060
Impulse,avx2 flush denorm,,,,50377457.0,ns,1080
Impulse,avx2 flush denorm,,,,51318558.0,ns,1100
Impulse,avx2 flush denorm,,,,52016681.0,ns,1120
Impulse,avx2 flush denorm,,,,54790031.0,ns,1140
Impulse,avx2 flush denorm,,,,53941422.0,ns,1160
Impulse,avx2 flush denorm,,,,55169477.0,ns,1180
Impulse,avx2 flush denorm,,,,56662026.0,ns,1200
Impulse,avx2 flush denorm,,,,56948350.0,ns,1220
Impulse,avx2 flush denorm,,,,58326689.0,ns,1240
Impulse,avx2 flush denorm,,,,58806957.0,ns,1260
Impulse,avx2 flush denorm,,,,59803619.0,ns,1280
Impulse,avx2 flush denorm,,,,60579401.0,ns,1300
Impulse,avx2 flush denorm,,,,61681979.0,ns,1320
Impulse,avx2 flush denorm,,,,62333630.0,ns,1340
Impulse,avx2 flush denorm,,,,64252264.0,ns,1360
Impulse,avx2 flush denorm,,,,64877671.0,ns,1380
Impulse,avx2 flush denorm,,,,66605950.0,ns,1400
Impulse,avx2 flush denorm,,,,66448532.0,ns,1420
Impulse,avx2 flush denorm,,,,68032126.0,ns,1440
Impulse,avx2 flush denorm,,,,67763500.0,ns,1460
Impulse,avx2 flush denorm,,,,68939725.0,ns,1480
Impulse,avx2 flush denorm,,,,69858749.0,ns,1500
Impulse,avx2 flush denorm,,,,72402442.0,ns,1520
Impulse,avx2 flush denorm,,,,71805767.0,ns,1540
Impulse,avx2 flush denorm,,,,72709098.0,ns,1560
Impulse,avx2 flush denorm,,,,74687949.0,ns,1580
Impulse,avx2 flush denorm,,,,75887547.0,ns,1600
Impulse,avx2 flush denorm,,,,76572320.0,ns,1620
Impulse,avx2 flush denorm,,,,76346765.0,ns,1640
Impulse,avx2 flush denorm,,,,77535165.0,ns,1660
Impulse,avx2 flush denorm,,,,78742299.0,ns,1680
Impulse,avx2 flush denorm,,,,80637238.0,ns,1700
Impulse,avx2 flush denorm,,,,81322346.0,ns,1720
Impulse,avx2 flush denorm,,,,81620766.0,ns,1740
Impulse,avx2 flush denorm,,,,82418283.0,ns,1760
Impulse,avx2 flush denorm,,,,83016302.0,ns,1780
Impulse,avx2 flush denorm,,,,83761507.0,ns,1800
Impulse,avx2 flush denorm,,,,84564230.0,ns,1820
Impulse,avx2 flush denorm,,,,85607810.0,ns,1840
Impulse,avx2 flush denorm,,,,86568616.0,ns,1860
Impulse,avx2 flush denorm,,,,87768382.0,ns,1880
Impulse,avx2 flush denorm,,,,89079287.0,ns,1900
Impulse,avx2 flush denorm,,,,89958274.0,ns,1920
Impulse,avx2 flush denorm,,,,91493356.0,ns,1940
Impulse,avx2 flush denorm,,,,92266677.0,ns,1960
Impulse,avx2 flush denorm,,,,93052559.0,ns,1980
Impulse,avx2 flush denorm,,,,93973165.0,ns,2000
