group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Impulse,avx2 with denorm,,,,1020179.0,ns,3
Impulse,avx2 with denorm,,,,2035207.0,ns,6
Impulse,avx2 with denorm,,,,3142161.0,ns,9
Impulse,avx2 with denorm,,,,3990734.0,ns,12
Impulse,avx2 with denorm,,,,5070285.0,ns,15
Impulse,avx2 with denorm,,,,6190918.0,ns,18
Impulse,avx2 with denorm,,,,7183739.0,ns,21
Impulse,avx2 with denorm,,,,8165625.0,ns,24
Impulse,avx2 with denorm,,,,9170472.0,ns,27
Impulse,avx2 with denorm,,,,10162561.0,ns,30
Impulse,avx2 with denorm,,,,11045636.0,ns,33
Impulse,avx2 with denorm,,,,12169081.0,ns,36
Impulse,avx2 with denorm,,,,13032007.0,ns,39
Impulse,avx2 with denorm,,,,14073096.0,ns,42
Impulse,avx2 with denorm,,,,15150477.0,ns,45
Impulse,avx2 with denorm,,,,16108692.0,ns,48
Impulse,avx2 with denorm,,,,17094881.0,ns,51
Impulse,avx2 with denorm,,,,18088347.0,ns,54
Impulse,avx2 with denorm,,,,19056160.0,ns,57
Impulse,avx2 with denorm,,,,20169464.0,ns,60
Impulse,avx2 with denorm,,,,21068764.0,ns,63
Impulse,avx2 with denorm,,,,22021170.0,ns,66
Impulse,avx2 with denorm,,,,22954581.0,ns,69
Impulse,avx2 with denorm,,,,23926823.0,ns,72
Impulse,avx2 with denorm,,,,25157523.0,ns,75
Impulse,avx2 with denorm,,,,25948391.0,ns,78
Impulse,avx2 with denorm,,,,27101746.0,ns,81
Impulse,avx2 with denorm,,,,27977966.0,ns,84
Impulse,avx2 with denorm,,,,28915695.0,ns,87
Impulse,avx2 with denorm,,,,30131880.0,ns,90
Impulse,avx2 with denorm,,,,31143858.0,ns,93
Impulse,avx2 with denorm,,,,32437629.0,ns,96
Impulse,avx2 with denorm,,,,33518889.0,ns,99
Impulse,avx2 with denorm,,,,33889345.0,ns,102
Impulse,avx2 with denorm,,,,34985812.0,ns,105
Impulse,avx2 with denorm,,,,36312902.0,ns,108
Impulse,avx2 with denorm,,,,37188784.0,ns,111
Impulse,avx2 with denorm,,,,38506422.0,ns,114
Impulse,avx2 with denorm,,,,39427988.0,ns,117
Impulse,avx2 with denorm,,,,40237062.0,ns,120
Impulse,avx2 with denorm,,,,41136876.0,ns,123
Impulse,avx2 with denorm,,,,42026381.0,ns,126
Impulse,avx2 with denorm,,,,43086311.0,ns,129
Impulse,avx2 with denorm,,,,44343016.0,ns,132
Impulse,avx2 with denorm,,,,45707731.0,ns,135
Impulse,avx2 with denorm,,,,46166723.0,ns,138
Impulse,avx2 with denorm,,,,47331830.0,ns,141
Impulse,avx2 with denorm,,,,48246477.0,ns,144
Impulse,avx2 with denorm,,,,49158648.0,ns,147
Impulse,avx2 with denorm,,,,50089065.0,ns,150
Impulse,avx2 with denorm,,,,51180909.0,ns,153
Impulse,avx2 with denorm,,,,52255101.0,ns,156
Impulse,avx2 with denorm,,,,53216710.0,ns,159
Impulse,avx2 with denorm,,,,54205921.0,ns,162
Impulse,avx2 with denorm,,,,55945766.0,ns,165
Impulse,avx2 with denorm,,,,56172409.0,ns,168
Impulse,avx2 with denorm,,,,57177357.0,ns,171
Impulse,avx2 with denorm,,,,58385816.0,ns,174
Impulse,avx2 with denorm,,,,59249789.0,ns,177
Impulse,avx2 with denorm,,,,60033156.0,ns,180
Impulse,avx2 with denorm,,,,61488611.0,ns,183
Impulse,avx2 with denorm,,,,62187267.0,ns,186
Impulse,avx2 with denorm,,,,63728650.0,ns,189
Impulse,avx2 with denorm,,,,64208595.0,ns,192
Impulse,avx2 with denorm,,,,65123310.0,ns,195
Impulse,avx2 with denorm,,,,66531996.0,ns,198
Impulse,avx2 with denorm,,,,67415222.0,ns,201
Impulse,avx2 with denorm,,,,68597272.0,ns,204
Impulse,avx2 with denorm,,,,69433343.0,ns,207
Impulse,avx2 with denorm,,,,70294525.0,ns,210
Impulse,avx2 with denorm,,,,71380191.0,ns,213
Impulse,avx2 with denorm,,,,72025903.0,ns,216
Impulse,avx2 with denorm,,,,73507583.0,ns,219
Impulse,avx2 with denorm,,,,75492236.0,ns,222
Impulse,avx2 with denorm,,,,74842261.0,ns,225
Impulse,avx2 with denorm,,,,76170569.0,ns,228
Impulse,avx2 with denorm,,,,78020677.0,ns,231
Impulse,avx2 with denorm,,,,78325332.0,ns,234
Impulse,avx2 with denorm,,,,79448037.0,ns,237
Impulse,avx2 with denorm,,,,80239133.0,ns,240
Impulse,avx2 with denorm,,,,81150248.0,ns,243
Impulse,avx2 with denorm,,,,82428646.0,ns,246
Impulse,avx2 with denorm,,,,83716073.0,ns,249
Impulse,avx2 with denorm,,,,84338544.0,ns,252
Impulse,avx2 with denorm,,,,84977676.0,ns,255
Impulse,avx2 with denorm,,,,86281391.0,ns,258
Impulse,avx2 with denorm,,,,87211683.0,ns,261
Impulse,avx2 with denorm,,,,88355241.0,ns,264
Impulse,avx2 with denorm,,,,89824884.0,ns,267
Impulse,avx2 with denorm,,,,90389006.0,ns,270
Impulse,avx2 with denorm,,,,91159248.0,ns,273
Impulse,avx2 with denorm,,,,92958893.0,ns,276
Impulse,avx2 with denorm,,,,93420226.0,ns,279
Impulse,avx2 with denorm,,,,95856356.0,ns,282
Impulse,avx2 with denorm,,,,96371524.0,ns,285
Impulse,avx2 with denorm,,,,96501436.0,ns,288
Impulse,avx2 with denorm,,,,97306683.0,ns,291
Impulse,avx2 with denorm,,,,98199723.0,ns,294
Impulse,avx2 with denorm,,,,99612107.0,ns,297
Impulse,avx2 with denorm,,,,100527615.0,ns,300
