group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Impulse,f32 flush denorm,,,,1258939.0,ns,3
Impulse,f32 flush denorm,,,,2446338.0,ns,6
Impulse,f32 flush denorm,,,,3814298.0,ns,9
Impulse,f32 flush denorm,,,,4882542.0,ns,12
Impulse,f32 flush denorm,,,,6061757.0,ns,15
Impulse,f32 flush denorm,,,,7307099.0,ns,18
Impulse,f32 flush denorm,,,,8426631.0,ns,21
Impulse,f32 flush denorm,,,,9741634.0,ns,24
Impulse,f32 flush denorm,,,,10686685.0,ns,27
Impulse,f32 flush denorm,,,,12029843.0,ns,30
Impulse,f32 flush denorm,,,,13168877.0,ns,33
Impulse,f32 flush denorm,,,,14462256.0,ns,36
Impulse,f32 flush denorm,,,,15746476.0,ns,39
Impulse,f32 flush denorm,,,,16922517.0,ns,42
Impulse,f32 flush denorm,,,,18024260.0,ns,45
Impulse,f32 flush denorm,,,,19123021.0,ns,48
Impulse,f32 flush denorm,,,,20401256.0,ns,51
Impulse,f32 flush denorm,,,,21663221.0,ns,54
Impulse,f32 flush denorm,,,,22841992.0,ns,57
Impulse,f32 flush denorm,,,,24229749.0,ns,60
Impulse,f32 flush denorm,,,,25197886.0,ns,63
Impulse,f32 flush denorm,,,,26434038.0,ns,66
Impulse,f32 flush denorm,,,,27475152.0,ns,69
Impulse,f32 flush denorm,,,,28844328.0,ns,72
Impulse,f32 flush denorm,,,,29996455.0,ns,75
Impulse,f32 flush denorm,,,,31149942.0,ns,78
Impulse,f32 flush denorm,,,,32434814.0,ns,81
Impulse,f32 flush denorm,,,,33661675.0,ns,84
Impulse,f32 flush denorm,,,,34797075.0,ns,87
Impulse,f32 flush denorm,,,,36106572.0,ns,90
Impulse,f32 flush denorm,,,,37429871.0,ns,93
Impulse,f32 flush denorm,,,,38496737.0,ns,96
Impulse,f32 flush denorm,,,,39883738.0,ns,99
Impulse,f32 flush denorm,,,,40950758.0,ns,102
Impulse,f32 flush denorm,,,,42411598.0,ns,105
Impulse,f32 flush denorm,,,,43466410.0,ns,108
Impulse,f32 flush denorm,,,,44522726.0,ns,111
Impulse,f32 flush denorm,,,,45607286.0,ns,114
Impulse,f32 flush denorm,,,,47118774.0,ns,117
Impulse,f32 flush denorm,,,,48079513.0,ns,120
Impulse,f32 flush denorm,,,,49210974.0,ns,123
Impulse,f32 flush denorm,,,,50229920.0,ns,126
Impulse,f32 flush denorm,,,,51417231.0,ns,129
Impulse,f32 flush denorm,,,,52808389.0,ns,132
Impulse,f32 flush denorm,,,,54238233.0,ns,135
Impulse,f32 flush denorm,,,,55255691.0,ns,138
Impulse,f32 flush denorm,,,,56464027.0,ns,141
Impulse,f32 flush denorm,,,,57563256.0,ns,144
Impulse,f32 flush denorm,,,,58785570.0,ns,147
Impulse,f32 flush denorm,,,,60820105.0,ns,150
Impulse,f32 flush denorm,,,,61340185.0,ns,153
Impulse,f32 flush denorm,,,,62509077.0,ns,156
Impulse,f32 flush denorm,,,,64060498.0,ns,159
Impulse,f32 flush denorm,,,,65069627.0,ns,162
Impulse,f32 flush denorm,,,,66331253.0,ns,165
Impulse,f32 flush denorm,,,,67211655.0,ns,168
Impulse,f32 flush denorm,,,,68404815.0,ns,171
Impulse,f32 flush denorm,,,,69612218.0,ns,174
Impulse,f32 flush denorm,,,,70682232.0,ns,177
Impulse,f32 flush denorm,,,,72405429.0,ns,180
Impulse,f32 flush denorm,,,,73464245.0,ns,183
Impulse,f32 flush denorm,,,,74226774.0,ns,186
Impulse,f32 flush denorm,,,,75232242.0,ns,189
Impulse,f32 flush denorm,,,,76888571.0,ns,192
Impulse,f32 flush denorm,,,,78275464.0,ns,195
Impulse,f32 flush denorm,,,,79176540.0,ns,198
Impulse,f32 flush denorm,,,,80720954.0,ns,201
Impulse,f32 flush denorm,,,,82213482.0,ns,204
Impulse,f32 flush denorm,,,,83153737.0,ns,207
Impulse,f32 flush denorm,,,,84558928.0,ns,210
Impulse,f32 flush denorm,,,,84916455.0,ns,213
Impulse,f32 flush denorm,,,,86358568.0,ns,216
Impulse,f32 flush denorm,,,,88698119.0,ns,219
Impulse,f32 flush denorm,,,,89549312.0,ns,222
Impulse,f32 flush denorm,,,,90273213.0,ns,225
Impulse,f32 flush denorm,,,,91195690.0,ns,228
Impulse,f32 flush denorm,,,,92586810.0,ns,231
Impulse,f32 flush denorm,,,,93429153.0,ns,234
Impulse,f32 flush denorm,,,,95520452.0,ns,237
Impulse,f32 flush denorm,,,,96208008.0,ns,240
Impulse,f32 flush denorm,,,,97392616.0,ns,243
Impulse,f32 flush denorm,,,,98039389.0,ns,246
Impulse,f32 flush denorm,,,,100104406.0,ns,249
Impulse,f32 flush denorm,,,,101044720.0,ns,252
Impulse,f32 flush denorm,,,,102164543.0,ns,255
Impulse,f32 flush denorm,,,,104029536.0,ns,258
Impulse,f32 flush denorm,,,,104650696.0,ns,261
Impulse,f32 flush denorm,,,,105732525.0,ns,264
Impulse,f32 flush denorm,,,,107661570.0,ns,267
Impulse,f32 flush denorm,,,,108646716.0,ns,270
Impulse,f32 flush denorm,,,,109309800.0,ns,273
Impulse,f32 flush denorm,,,,110101027.0,ns,276
Impulse,f32 flush denorm,,,,111409620.0,ns,279
Impulse,f32 flush denorm,,,,113558700.0,ns,282
Impulse,f32 flush denorm,,,,114305748.0,ns,285
Impulse,f32 flush denorm,,,,115119037.0,ns,288
Impulse,f32 flush denorm,,,,116561244.0,ns,291
Impulse,f32 flush denorm,,,,117669853.0,ns,294
Impulse,f32 flush denorm,,,,118795528.0,ns,297
Impulse,f32 flush denorm,,,,120466809.0,ns,300
