group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Impulse,f32 with denorm,,,,52384895.0,ns,22
Impulse,f32 with denorm,,,,51785941.0,ns,22
Impulse,f32 with denorm,,,,51812128.0,ns,22
Impulse,f32 with denorm,,,,51598360.0,ns,22
Impulse,f32 with denorm,,,,51791278.0,ns,22
Impulse,f32 with denorm,,,,51492379.0,ns,22
Impulse,f32 with denorm,,,,52035507.0,ns,22
Impulse,f32 with denorm,,,,51568284.0,ns,22
Impulse,f32 with denorm,,,,52100183.0,ns,22
Impulse,f32 with denorm,,,,51780158.0,ns,22
Impulse,f32 with denorm,,,,51875150.0,ns,22
Impulse,f32 with denorm,,,,51822107.0,ns,22
Impulse,f32 with denorm,,,,51887161.0,ns,22
Impulse,f32 with denorm,,,,51778732.0,ns,22
Impulse,f32 with denorm,,,,51585240.0,ns,22
Impulse,f32 with denorm,,,,51686170.0,ns,22
Impulse,f32 with denorm,,,,51569995.0,ns,22
Impulse,f32 with denorm,,,,51595726.0,ns,22
Impulse,f32 with denorm,,,,51920389.0,ns,22
Impulse,f32 with denorm,,,,51846332.0,ns,22
Impulse,f32 with denorm,,,,51673007.0,ns,22
Impulse,f32 with denorm,,,,52357103.0,ns,22
Impulse,f32 with denorm,,,,52678710.0,ns,22
Impulse,f32 with denorm,,,,53297832.0,ns,22
Impulse,f32 with denorm,,,,51795019.0,ns,22
Impulse,f32 with denorm,,,,51761284.0,ns,22
Impulse,f32 with denorm,,,,51858054.0,ns,22
Impulse,f32 with denorm,,,,51687144.0,ns,22
Impulse,f32 with denorm,,,,51869384.0,ns,22
Impulse,f32 with denorm,,,,51949722.0,ns,22
Impulse,f32 with denorm,,,,52533219.0,ns,22
Impulse,f32 with denorm,,,,51992542.0,ns,22
Impulse,f32 with denorm,,,,51828308.0,ns,22
Impulse,f32 with denorm,,,,51681620.0,ns,22
Impulse,f32 with denorm,,,,51667070.0,ns,22
Impulse,f32 with denorm,,,,51390238.0,ns,22
Impulse,f32 with denorm,,,,51912302.0,ns,22
Impulse,f32 with denorm,,,,51769457.0,ns,22
Impulse,f32 with denorm,,,,52018408.0,ns,22
Impulse,f32 with denorm,,,,52134095.0,ns,22
Impulse,f32 with denorm,,,,51509550.0,ns,22
Impulse,f32 with denorm,,,,51570501.0,ns,22
Impulse,f32 with denorm,,,,52192145.0,ns,22
Impulse,f32 with denorm,,,,51747876.0,ns,22
Impulse,f32 with denorm,,,,51483956.0,ns,22
Impulse,f32 with denorm,,,,51939684.0,ns,22
Impulse,f32 with denorm,,,,51779835.0,ns,22
Impulse,f32 with denorm,,,,52068996.0,ns,22
Impulse,f32 with denorm,,,,53370212.0,ns,22
Impulse,f32 with denorm,,,,52477850.0,ns,22
Impulse,f32 with denorm,,,,51884262.0,ns,22
Impulse,f32 with denorm,,,,51766313.0,ns,22
Impulse,f32 with denorm,,,,51671214.0,ns,22
Impulse,f32 with denorm,,,,51765544.0,ns,22
Impulse,f32 with denorm,,,,51938535.0,ns,22
Impulse,f32 with denorm,,,,51476768.0,ns,22
Impulse,f32 with denorm,,,,51470342.0,ns,22
Impulse,f32 with denorm,,,,51741093.0,ns,22
Impulse,f32 with denorm,,,,51995238.0,ns,22
Impulse,f32 with denorm,,,,51911600.0,ns,22
Impulse,f32 with denorm,,,,51967942.0,ns,22
Impulse,f32 with denorm,,,,51760802.0,ns,22
Impulse,f32 with denorm,,,,52065719.0,ns,22
Impulse,f32 with denorm,,,,51759678.0,ns,22
Impulse,f32 with denorm,,,,51853121.0,ns,22
Impulse,f32 with denorm,,,,51755612.0,ns,22
Impulse,f32 with denorm,,,,51665336.0,ns,22
Impulse,f32 with denorm,,,,52022816.0,ns,22
Impulse,f32 with denorm,,,,51756310.0,ns,22
Impulse,f32 with denorm,,,,51930432.0,ns,22
Impulse,f32 with denorm,,,,51735370.0,ns,22
Impulse,f32 with denorm,,,,52166165.0,ns,22
Impulse,f32 with denorm,,,,51855287.0,ns,22
Impulse,f32 with denorm,,,,52242563.0,ns,22
Impulse,f32 with denorm,,,,51685503.0,ns,22
Impulse,f32 with denorm,,,,51828878.0,ns,22
Impulse,f32 with denorm,,,,51587772.0,ns,22
Impulse,f32 with denorm,,,,52274231.0,ns,22
Impulse,f32 with denorm,,,,51895213.0,ns,22
Impulse,f32 with denorm,,,,51894302.0,ns,22
Impulse,f32 with denorm,,,,51721736.0,ns,22
Impulse,f32 with denorm,,,,51594508.0,ns,22
Impulse,f32 with denorm,,,,51543809.0,ns,22
Impulse,f32 with denorm,,,,52057991.0,ns,22
Impulse,f32 with denorm,,,,51814227.0,ns,22
Impulse,f32 with denorm,,,,51488985.0,ns,22
Impulse,f32 with denorm,,,,51674831.0,ns,22
Impulse,f32 with denorm,,,,51474536.0,ns,22
Impulse,f32 with denorm,,,,52585621.0,ns,22
Impulse,f32 with denorm,,,,51788665.0,ns,22
Impulse,f32 with denorm,,,,51956012.0,ns,22
Impulse,f32 with denorm,,,,51919908.0,ns,22
Impulse,f32 with denorm,,,,51971356.0,ns,22
Impulse,f32 with denorm,,,,52117722.0,ns,22
Impulse,f32 with denorm,,,,51653968.0,ns,22
Impulse,f32 with denorm,,,,51748391.0,ns,22
Impulse,f32 with denorm,,,,51451273.0,ns,22
Impulse,f32 with denorm,,,,51526999.0,ns,22
Impulse,f32 with denorm,,,,51651823.0,ns,22
Impulse,f32 with denorm,,,,51906826.0,ns,22
