group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Impulse,f32 with denorm,,,,52630949.0,ns,22
Impulse,f32 with denorm,,,,51895090.0,ns,22
Impulse,f32 with denorm,,,,51634932.0,ns,22
Impulse,f32 with denorm,,,,52313347.0,ns,22
Impulse,f32 with denorm,,,,51890097.0,ns,22
Impulse,f32 with denorm,,,,51881543.0,ns,22
Impulse,f32 with denorm,,,,51840046.0,ns,22
Impulse,f32 with denorm,,,,51867873.0,ns,22
Impulse,f32 with denorm,,,,51733686.0,ns,22
Impulse,f32 with denorm,,,,52003090.0,ns,22
Impulse,f32 with denorm,,,,51774749.0,ns,22
Impulse,f32 with denorm,,,,51598875.0,ns,22
Impulse,f32 with denorm,,,,51884262.0,ns,22
Impulse,f32 with denorm,,,,52024683.0,ns,22
Impulse,f32 with denorm,,,,51895646.0,ns,22
Impulse,f32 with denorm,,,,51762280.0,ns,22
Impulse,f32 with denorm,,,,51909257.0,ns,22
Impulse,f32 with denorm,,,,52239218.0,ns,22
Impulse,f32 with denorm,,,,51668384.0,ns,22
Impulse,f32 with denorm,,,,51709053.0,ns,22
Impulse,f32 with denorm,,,,51609418.0,ns,22
Impulse,f32 with denorm,,,,51770183.0,ns,22
Impulse,f32 with denorm,,,,52417475.0,ns,22
Impulse,f32 with denorm,,,,52274257.0,ns,22
Impulse,f32 with denorm,,,,52488640.0,ns,22
Impulse,f32 with denorm,,,,51638733.0,ns,22
Impulse,f32 with denorm,,,,51910434.0,ns,22
Impulse,f32 with denorm,,,,51788124.0,ns,22
Impulse,f32 with denorm,,,,51769922.0,ns,22
Impulse,f32 with denorm,,,,51662024.0,ns,22
Impulse,f32 with denorm,,,,51500285.0,ns,22
Impulse,f32 with denorm,,,,52098287.0,ns,22
Impulse,f32 with denorm,,,,52220971.0,ns,22
Impulse,f32 with denorm,,,,51871191.0,ns,22
Impulse,f32 with denorm,,,,51820632.0,ns,22
Impulse,f32 with denorm,,,,51762517.0,ns,22
Impulse,f32 with denorm,,,,51825500.0,ns,22
Impulse,f32 with denorm,,,,51768067.0,ns,22
Impulse,f32 with denorm,,,,51667298.0,ns,22
Impulse,f32 with denorm,,,,51781598.0,ns,22
Impulse,f32 with denorm,,,,52071782.0,ns,22
Impulse,f32 with denorm,,,,52363720.0,ns,22
Impulse,f32 with denorm,,,,51880886.0,ns,22
Impulse,f32 with denorm,,,,51749673.0,ns,22
Impulse,f32 with denorm,,,,51972336.0,ns,22
Impulse,f32 with denorm,,,,51799791.0,ns,22
Impulse,f32 with denorm,,,,51736075.0,ns,22
Impulse,f32 with denorm,,,,51805980.0,ns,22
Impulse,f32 with denorm,,,,51933323.0,ns,22
Impulse,f32 with denorm,,,,51665371.0,ns,22
Impulse,f32 with denorm,,,,51655833.0,ns,22
Impulse,f32 with denorm,,,,52120247.0,ns,22
Impulse,f32 with denorm,,,,51644235.0,ns,22
Impulse,f32 with denorm,,,,51883285.0,ns,22
Impulse,f32 with denorm,,,,51858953.0,ns,22
Impulse,f32 with denorm,,,,52040088.0,ns,22
Impulse,f32 with denorm,,,,51485059.0,ns,22
Impulse,f32 with denorm,,,,52166214.0,ns,22
Impulse,f32 with denorm,,,,51826017.0,ns,22
Impulse,f32 with denorm,,,,51763067.0,ns,22
Impulse,f32 with denorm,,,,51876608.0,ns,22
Impulse,f32 with denorm,,,,52200856.0,ns,22
Impulse,f32 with denorm,,,,51675677.0,ns,22
Impulse,f32 with denorm,,,,51968930.0,ns,22
Impulse,f32 with denorm,,,,51818588.0,ns,22
Impulse,f32 with denorm,,,,51747610.0,ns,22
Impulse,f32 with denorm,,,,51760165.0,ns,22
Impulse,f32 with denorm,,,,51782570.0,ns,22
Impulse,f32 with denorm,,,,51555944.0,ns,22
Impulse,f32 with denorm,,,,51428470.0,ns,22
Impulse,f32 with denorm,,,,52206179.0,ns,22
Impulse,f32 with denorm,,,,51649798.0,ns,22
Impulse,f32 with denorm,,,,51875465.0,ns,22
Impulse,f32 with denorm,,,,51929783.0,ns,22
Impulse,f32 with denorm,,,,52088582.0,ns,22
Impulse,f32 with denorm,,,,51672892.0,ns,22
Impulse,f32 with denorm,,,,51555363.0,ns,22
Impulse,f32 with denorm,,,,51835784.0,ns,22
Impulse,f32 with denorm,,,,51669237.0,ns,22
Impulse,f32 with denorm,,,,51979610.0,ns,22
Impulse,f32 with denorm,,,,52121401.0,ns,22
Impulse,f32 with denorm,,,,51752592.0,ns,22
Impulse,f32 with denorm,,,,51461579.0,ns,22
Impulse,f32 with denorm,,,,51578915.0,ns,22
Impulse,f32 with denorm,,,,51761828.0,ns,22
Impulse,f32 with denorm,,,,52555637.0,ns,22
Impulse,f32 with denorm,,,,51743441.0,ns,22
Impulse,f32 with denorm,,,,51480564.0,ns,22
Impulse,f32 with denorm,,,,51356995.0,ns,22
Impulse,f32 with denorm,,,,51888910.0,ns,22
Impulse,f32 with denorm,,,,51830296.0,ns,22
Impulse,f32 with denorm,,,,51671704.0,ns,22
Impulse,f32 with denorm,,,,51619167.0,ns,22
Impulse,f32 with denorm,,,,51802624.0,ns,22
Impulse,f32 with denorm,,,,51783003.0,ns,22
Impulse,f32 with denorm,,,,51872289.0,ns,22
Impulse,f32 with denorm,,,,51603446.0,ns,22
Impulse,f32 with denorm,,,,51696018.0,ns,22
Impulse,f32 with denorm,,,,51540378.0,ns,22
Impulse,f32 with denorm,,,,52013224.0,ns,22
