group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Impulse,sse2 flush denorm,,,,967056.0,ns,17
Impulse,sse2 flush denorm,,,,1975775.0,ns,34
Impulse,sse2 flush denorm,,,,3015589.0,ns,51
Impulse,sse2 flush denorm,,,,3895829.0,ns,68
Impulse,sse2 flush denorm,,,,5018838.0,ns,85
Impulse,sse2 flush denorm,,,,5889434.0,ns,102
Impulse,sse2 flush denorm,,,,6939695.0,ns,119
Impulse,sse2 flush denorm,,,,7855557.0,ns,136
Impulse,sse2 flush denorm,,,,8795464.0,ns,153
Impulse,sse2 flush denorm,,,,9736809.0,ns,170
Impulse,sse2 flush denorm,,,,10745901.0,ns,187
Impulse,sse2 flush denorm,,,,11623272.0,ns,204
Impulse,sse2 flush denorm,,,,12605183.0,ns,221
Impulse,sse2 flush denorm,,,,13568987.0,ns,238
Impulse,sse2 flush denorm,,,,14683681.0,ns,255
Impulse,sse2 flush denorm,,,,15594321.0,ns,272
Impulse,sse2 flush denorm,,,,16697911.0,ns,289
Impulse,sse2 flush denorm,,,,17829709.0,ns,306
Impulse,sse2 flush denorm,,,,18727399.0,ns,323
Impulse,sse2 flush denorm,,,,19628337.0,ns,340
Impulse,sse2 flush denorm,,,,20430566.0,ns,357
Impulse,sse2 flush denorm,,,,21477284.0,ns,374
Impulse,sse2 flush denorm,,,,22885922.0,ns,391
Impulse,sse2 flush denorm,,,,23933239.0,ns,408
Impulse,sse2 flush denorm,,,,24386571.0,ns,425
Impulse,sse2 flush denorm,,,,25346462.0,ns,442
Impulse,sse2 flush denorm,,,,26220946.0,ns,459
Impulse,sse2 flush denorm,,,,27439989.0,ns,476
Impulse,sse2 flush denorm,,,,29179934.0,ns,493
Impulse,sse2 flush denorm,,,,29122376.0,ns,510
Impulse,sse2 flush denorm,,,,30133130.0,ns,527
Impulse,sse2 flush denorm,,,,31162614.0,ns,544
Impulse,sse2 flush denorm,,,,32066791.0,ns,561
Impulse,sse2 flush denorm,,,,33973269.0,ns,578
Impulse,sse2 flush denorm,,,,33940863.0,ns,595
Impulse,sse2 flush denorm,,,,35932928.0,ns,612
Impulse,sse2 flush denorm,,,,36262253.0,ns,629
Impulse,sse2 flush denorm,,,,37085514.0,ns,646
Impulse,sse2 flush denorm,,,,37854123.0,ns,663
Impulse,sse2 flush denorm,,,,38834440.0,ns,680
Impulse,sse2 flush denorm,,,,39810740.0,ns,697
Impulse,sse2 flush denorm,,,,40584529.0,ns,714
Impulse,sse2 flush denorm,,,,42238211.0,ns,731
Impulse,sse2 flush denorm,,,,42760023.0,ns,748
Impulse,sse2 flush denorm,,,,43676656.0,ns,765
Impulse,sse2 flush denorm,,,,44636076.0,ns,782
Impulse,sse2 flush denorm,,,,46428084.0,ns,799
Impulse,sse2 flush denorm,,,,47731169.0,ns,816
Impulse,sse2 flush denorm,,,,48062360.0,ns,833
Impulse,sse2 flush denorm,,,,48644815.0,ns,850
Impulse,sse2 flush denorm,,,,50318266.0,ns,867
Impulse,sse2 flush denorm,,,,50442277.0,ns,884
Impulse,sse2 flush denorm,,,,51896025.0,ns,901
Impulse,sse2 flush denorm,,,,52251634.0,ns,918
