group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Impulse,sse2 flush denorm,,,,993098.0,ns,17
Impulse,sse2 flush denorm,,,,1980558.0,ns,34
Impulse,sse2 flush denorm,,,,3166625.0,ns,51
Impulse,sse2 flush denorm,,,,3991426.0,ns,68
Impulse,sse2 flush denorm,,,,4907355.0,ns,85
Impulse,sse2 flush denorm,,,,5985314.0,ns,102
Impulse,sse2 flush denorm,,,,6890387.0,ns,119
Impulse,sse2 flush denorm,,,,7760936.0,ns,136
Impulse,sse2 flush denorm,,,,8763867.0,ns,153
Impulse,sse2 flush denorm,,,,9831742.0,ns,170
Impulse,sse2 flush denorm,,,,10729237.0,ns,187
Impulse,sse2 flush denorm,,,,11692332.0,ns,204
Impulse,sse2 flush denorm,,,,12579869.0,ns,221
Impulse,sse2 flush denorm,,,,13633472.0,ns,238
Impulse,sse2 flush denorm,,,,14593003.0,ns,255
Impulse,sse2 flush denorm,,,,15527799.0,ns,272
Impulse,sse2 flush denorm,,,,16553209.0,ns,289
Impulse,sse2 flush denorm,,,,17598396.0,ns,306
Impulse,sse2 flush denorm,,,,18456078.0,ns,323
Impulse,sse2 flush denorm,,,,19421370.0,ns,340
Impulse,sse2 flush denorm,,,,21167699.0,ns,357
Impulse,sse2 flush denorm,,,,21547067.0,ns,374
Impulse,sse2 flush denorm,,,,22672415.0,ns,391
Impulse,sse2 flush denorm,,,,25298838.0,ns,408
Impulse,sse2 flush denorm,,,,24596958.0,ns,425
Impulse,sse2 flush denorm,,,,25312385.0,ns,442
Impulse,sse2 flush denorm,,,,26272414.0,ns,459
Impulse,sse2 flush denorm,,,,27362056.0,ns,476
Impulse,sse2 flush denorm,,,,29033968.0,ns,493
Impulse,sse2 flush denorm,,,,29292477.0,ns,510
Impulse,sse2 flush denorm,,,,30166446.0,ns,527
Impulse,sse2 flush denorm,,,,31088137.0,ns,544
Impulse,sse2 flush denorm,,,,32080872.0,ns,561
Impulse,sse2 flush denorm,,,,33354465.0,ns,578
Impulse,sse2 flush denorm,,,,34142459.0,ns,595
Impulse,sse2 flush denorm,,,,35181363.0,ns,612
Impulse,sse2 flush denorm,,,,36218297.0,ns,629
Impulse,sse2 flush denorm,,,,37264276.0,ns,646
Impulse,sse2 flush denorm,,,,37808640.0,ns,663
Impulse,sse2 flush denorm,,,,39632953.0,ns,680
Impulse,sse2 flush denorm,,,,39571034.0,ns,697
Impulse,sse2 flush denorm,,,,40627342.0,ns,714
Impulse,sse2 flush denorm,,,,41596245.0,ns,731
Impulse,sse2 flush denorm,,,,43286898.0,ns,748
Impulse,sse2 flush denorm,,,,44125826.0,ns,765
Impulse,sse2 flush denorm,,,,45001423.0,ns,782
Impulse,sse2 flush denorm,,,,45610593.0,ns,799
Impulse,sse2 flush denorm,,,,47155278.0,ns,816
Impulse,sse2 flush denorm,,,,47593081.0,ns,833
Impulse,sse2 flush denorm,,,,48682590.0,ns,850
Impulse,sse2 flush denorm,,,,49468788.0,ns,867
