group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Impulse,sse2 with denorm,,,,1390038.0,ns,2
Impulse,sse2 with denorm,,,,2788827.0,ns,4
Impulse,sse2 with denorm,,,,4200921.0,ns,6
Impulse,sse2 with denorm,,,,5581223.0,ns,8
Impulse,sse2 with denorm,,,,6783598.0,ns,10
Impulse,sse2 with denorm,,,,8250940.0,ns,12
Impulse,sse2 with denorm,,,,9481178.0,ns,14
Impulse,sse2 with denorm,,,,10842311.0,ns,16
Impulse,sse2 with denorm,,,,12143579.0,ns,18
Impulse,sse2 with denorm,,,,13322059.0,ns,20
Impulse,sse2 with denorm,,,,14828855.0,ns,22
Impulse,sse2 with denorm,,,,16260378.0,ns,24
Impulse,sse2 with denorm,,,,17531575.0,ns,26
Impulse,sse2 with denorm,,,,18840730.0,ns,28
Impulse,sse2 with denorm,,,,20149092.0,ns,30
Impulse,sse2 with denorm,,,,21445121.0,ns,32
Impulse,sse2 with denorm,,,,23008556.0,ns,34
Impulse,sse2 with denorm,,,,24211143.0,ns,36
Impulse,sse2 with denorm,,,,25475290.0,ns,38
Impulse,sse2 with denorm,,,,26847163.0,ns,40
Impulse,sse2 with denorm,,,,28286916.0,ns,42
Impulse,sse2 with denorm,,,,29775975.0,ns,44
Impulse,sse2 with denorm,,,,30895348.0,ns,46
Impulse,sse2 with denorm,,,,32310864.0,ns,48
Impulse,sse2 with denorm,,,,34018292.0,ns,50
Impulse,sse2 with denorm,,,,35430551.0,ns,52
Impulse,sse2 with denorm,,,,36445337.0,ns,54
Impulse,sse2 with denorm,,,,37919741.0,ns,56
Impulse,sse2 with denorm,,,,39003664.0,ns,58
Impulse,sse2 with denorm,,,,40544653.0,ns,60
Impulse,sse2 with denorm,,,,41533970.0,ns,62
Impulse,sse2 with denorm,,,,43036241.0,ns,64
Impulse,sse2 with denorm,,,,44406686.0,ns,66
Impulse,sse2 with denorm,,,,45881285.0,ns,68
Impulse,sse2 with denorm,,,,46937183.0,ns,70
Impulse,sse2 with denorm,,,,48434681.0,ns,72
Impulse,sse2 with denorm,,,,50611895.0,ns,74
Impulse,sse2 with denorm,,,,51178130.0,ns,76
Impulse,sse2 with denorm,,,,53010865.0,ns,78
Impulse,sse2 with denorm,,,,54413998.0,ns,80
Impulse,sse2 with denorm,,,,55330498.0,ns,82
Impulse,sse2 with denorm,,,,56713946.0,ns,84
Impulse,sse2 with denorm,,,,57841713.0,ns,86
Impulse,sse2 with denorm,,,,59059906.0,ns,88
Impulse,sse2 with denorm,,,,60590288.0,ns,90
Impulse,sse2 with denorm,,,,62447638.0,ns,92
Impulse,sse2 with denorm,,,,63490864.0,ns,94
Impulse,sse2 with denorm,,,,65024140.0,ns,96
Impulse,sse2 with denorm,,,,66166465.0,ns,98
Impulse,sse2 with denorm,,,,67443286.0,ns,100
Impulse,sse2 with denorm,,,,68509692.0,ns,102
Impulse,sse2 with denorm,,,,70130293.0,ns,104
Impulse,sse2 with denorm,,,,72225565.0,ns,106
Impulse,sse2 with denorm,,,,72653787.0,ns,108
Impulse,sse2 with denorm,,,,74193492.0,ns,110
Impulse,sse2 with denorm,,,,75480306.0,ns,112
Impulse,sse2 with denorm,,,,76500565.0,ns,114
Impulse,sse2 with denorm,,,,78111174.0,ns,116
Impulse,sse2 with denorm,,,,79956785.0,ns,118
Impulse,sse2 with denorm,,,,81344700.0,ns,120
Impulse,sse2 with denorm,,,,82204580.0,ns,122
Impulse,sse2 with denorm,,,,83628548.0,ns,124
Impulse,sse2 with denorm,,,,85344782.0,ns,126
Impulse,sse2 with denorm,,,,86281431.0,ns,128
Impulse,sse2 with denorm,,,,87115057.0,ns,130
Impulse,sse2 with denorm,,,,89242835.0,ns,132
Impulse,sse2 with denorm,,,,90062673.0,ns,134
Impulse,sse2 with denorm,,,,91377043.0,ns,136
Impulse,sse2 with denorm,,,,92786978.0,ns,138
Impulse,sse2 with denorm,,,,94331346.0,ns,140
