group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Impulse,sse2 with denorm,,,,1414778.0,ns,2
Impulse,sse2 with denorm,,,,2783960.0,ns,4
Impulse,sse2 with denorm,,,,4103113.0,ns,6
Impulse,sse2 with denorm,,,,5424863.0,ns,8
Impulse,sse2 with denorm,,,,6900984.0,ns,10
Impulse,sse2 with denorm,,,,8134801.0,ns,12
Impulse,sse2 with denorm,,,,9448641.0,ns,14
Impulse,sse2 with denorm,,,,10658014.0,ns,16
Impulse,sse2 with denorm,,,,11991422.0,ns,18
Impulse,sse2 with denorm,,,,13311650.0,ns,20
Impulse,sse2 with denorm,,,,14622873.0,ns,22
Impulse,sse2 with denorm,,,,16094006.0,ns,24
Impulse,sse2 with denorm,,,,17704290.0,ns,26
Impulse,sse2 with denorm,,,,19053011.0,ns,28
Impulse,sse2 with denorm,,,,20153168.0,ns,30
Impulse,sse2 with denorm,,,,21395838.0,ns,32
Impulse,sse2 with denorm,,,,23072428.0,ns,34
Impulse,sse2 with denorm,,,,24148635.0,ns,36
Impulse,sse2 with denorm,,,,25895217.0,ns,38
Impulse,sse2 with denorm,,,,26947551.0,ns,40
Impulse,sse2 with denorm,,,,28264174.0,ns,42
Impulse,sse2 with denorm,,,,29561172.0,ns,44
Impulse,sse2 with denorm,,,,30831262.0,ns,46
Impulse,sse2 with denorm,,,,32404165.0,ns,48
Impulse,sse2 with denorm,,,,33675517.0,ns,50
Impulse,sse2 with denorm,,,,35412171.0,ns,52
Impulse,sse2 with denorm,,,,36444532.0,ns,54
Impulse,sse2 with denorm,,,,37753827.0,ns,56
Impulse,sse2 with denorm,,,,39331860.0,ns,58
Impulse,sse2 with denorm,,,,40514395.0,ns,60
Impulse,sse2 with denorm,,,,41633023.0,ns,62
Impulse,sse2 with denorm,,,,43279404.0,ns,64
Impulse,sse2 with denorm,,,,45806727.0,ns,66
Impulse,sse2 with denorm,,,,46615999.0,ns,68
Impulse,sse2 with denorm,,,,47139098.0,ns,70
Impulse,sse2 with denorm,,,,48617144.0,ns,72
Impulse,sse2 with denorm,,,,49901424.0,ns,74
Impulse,sse2 with denorm,,,,51104708.0,ns,76
Impulse,sse2 with denorm,,,,52661551.0,ns,78
Impulse,sse2 with denorm,,,,53742327.0,ns,80
Impulse,sse2 with denorm,,,,55249000.0,ns,82
Impulse,sse2 with denorm,,,,56790871.0,ns,84
Impulse,sse2 with denorm,,,,57840883.0,ns,86
Impulse,sse2 with denorm,,,,59048180.0,ns,88
Impulse,sse2 with denorm,,,,60868319.0,ns,90
Impulse,sse2 with denorm,,,,61982523.0,ns,92
Impulse,sse2 with denorm,,,,63505810.0,ns,94
Impulse,sse2 with denorm,,,,64363345.0,ns,96
Impulse,sse2 with denorm,,,,65791949.0,ns,98
Impulse,sse2 with denorm,,,,67191925.0,ns,100
Impulse,sse2 with denorm,,,,68766124.0,ns,102
Impulse,sse2 with denorm,,,,70322492.0,ns,104
Impulse,sse2 with denorm,,,,71458506.0,ns,106
Impulse,sse2 with denorm,,,,72780774.0,ns,108
Impulse,sse2 with denorm,,,,74012774.0,ns,110
Impulse,sse2 with denorm,,,,75486911.0,ns,112
Impulse,sse2 with denorm,,,,76852547.0,ns,114
Impulse,sse2 with denorm,,,,78494794.0,ns,116
Impulse,sse2 with denorm,,,,79269497.0,ns,118
Impulse,sse2 with denorm,,,,80214199.0,ns,120
Impulse,sse2 with denorm,,,,81857671.0,ns,122
Impulse,sse2 with denorm,,,,83438078.0,ns,124
Impulse,sse2 with denorm,,,,84762692.0,ns,126
Impulse,sse2 with denorm,,,,86223971.0,ns,128
Impulse,sse2 with denorm,,,,87764635.0,ns,130
Impulse,sse2 with denorm,,,,89111080.0,ns,132
Impulse,sse2 with denorm,,,,90246367.0,ns,134
Impulse,sse2 with denorm,,,,90861646.0,ns,136
Impulse,sse2 with denorm,,,,92671054.0,ns,138
Impulse,sse2 with denorm,,,,94505731.0,ns,140
Impulse,sse2 with denorm,,,,95559846.0,ns,142
Impulse,sse2 with denorm,,,,96918780.0,ns,144
Impulse,sse2 with denorm,,,,98408224.0,ns,146
Impulse,sse2 with denorm,,,,99479079.0,ns,148
Impulse,sse2 with denorm,,,,101136962.0,ns,150
Impulse,sse2 with denorm,,,,103683230.0,ns,152
Impulse,sse2 with denorm,,,,105269433.0,ns,154
Impulse,sse2 with denorm,,,,105590002.0,ns,156
Impulse,sse2 with denorm,,,,106308925.0,ns,158
Impulse,sse2 with denorm,,,,108035168.0,ns,160
Impulse,sse2 with denorm,,,,109124173.0,ns,162
Impulse,sse2 with denorm,,,,109954037.0,ns,164
Impulse,sse2 with denorm,,,,111573888.0,ns,166
Impulse,sse2 with denorm,,,,113264164.0,ns,168
Impulse,sse2 with denorm,,,,114497867.0,ns,170
Impulse,sse2 with denorm,,,,116199005.0,ns,172
Impulse,sse2 with denorm,,,,117192768.0,ns,174
Impulse,sse2 with denorm,,,,118281605.0,ns,176
Impulse,sse2 with denorm,,,,120218402.0,ns,178
Impulse,sse2 with denorm,,,,121808614.0,ns,180
Impulse,sse2 with denorm,,,,121989437.0,ns,182
Impulse,sse2 with denorm,,,,123439943.0,ns,184
Impulse,sse2 with denorm,,,,125860988.0,ns,186
Impulse,sse2 with denorm,,,,126656634.0,ns,188
Impulse,sse2 with denorm,,,,127804348.0,ns,190
Impulse,sse2 with denorm,,,,128805134.0,ns,192
Impulse,sse2 with denorm,,,,130736856.0,ns,194
Impulse,sse2 with denorm,,,,132070203.0,ns,196
Impulse,sse2 with denorm,,,,132764398.0,ns,198
Impulse,sse2 with denorm,,,,135546031.0,ns,200
