group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Noise input,avx2 flush denorm,,,,936353.0,ns,24
Noise input,avx2 flush denorm,,,,1887935.0,ns,48
Noise input,avx2 flush denorm,,,,3000215.0,ns,72
Noise input,avx2 flush denorm,,,,3757118.0,ns,96
Noise input,avx2 flush denorm,,,,4700563.0,ns,120
Noise input,avx2 flush denorm,,,,5754724.0,ns,144
Noise input,avx2 flush denorm,,,,6568933.0,ns,168
Noise input,avx2 flush denorm,,,,7682237.0,ns,192
Noise input,avx2 flush denorm,,,,8351735.0,ns,216
Noise input,avx2 flush denorm,,,,9438417.0,ns,240
Noise input,avx2 flush denorm,,,,10623378.0,ns,264
Noise input,avx2 flush denorm,,,,11325603.0,ns,288
Noise input,avx2 flush denorm,,,,12617320.0,ns,312
Noise input,avx2 flush denorm,,,,13322092.0,ns,336
Noise input,avx2 flush denorm,,,,14124512.0,ns,360
Noise input,avx2 flush denorm,,,,14943148.0,ns,384
Noise input,avx2 flush denorm,,,,16170888.0,ns,408
Noise input,avx2 flush denorm,,,,17516252.0,ns,432
Noise input,avx2 flush denorm,,,,17650628.0,ns,456
Noise input,avx2 flush denorm,,,,18742239.0,ns,480
Noise input,avx2 flush denorm,,,,19829375.0,ns,504
Noise input,avx2 flush denorm,,,,20618101.0,ns,528
Noise input,avx2 flush denorm,,,,21333599.0,ns,552
Noise input,avx2 flush denorm,,,,22309662.0,ns,576
Noise input,avx2 flush denorm,,,,23179512.0,ns,600
Noise input,avx2 flush denorm,,,,24233691.0,ns,624
Noise input,avx2 flush denorm,,,,25575405.0,ns,648
Noise input,avx2 flush denorm,,,,25958225.0,ns,672
Noise input,avx2 flush denorm,,,,26663047.0,ns,696
Noise input,avx2 flush denorm,,,,27745989.0,ns,720
Noise input,avx2 flush denorm,,,,28684516.0,ns,744
Noise input,avx2 flush denorm,,,,29777161.0,ns,768
Noise input,avx2 flush denorm,,,,30603824.0,ns,792
Noise input,avx2 flush denorm,,,,33703790.0,ns,816
Noise input,avx2 flush denorm,,,,33614239.0,ns,840
Noise input,avx2 flush denorm,,,,33396518.0,ns,864
Noise input,avx2 flush denorm,,,,34460039.0,ns,888
Noise input,avx2 flush denorm,,,,35217346.0,ns,912
Noise input,avx2 flush denorm,,,,36395607.0,ns,936
Noise input,avx2 flush denorm,,,,37488071.0,ns,960
Noise input,avx2 flush denorm,,,,38161434.0,ns,984
Noise input,avx2 flush denorm,,,,39846045.0,ns,1008
Noise input,avx2 flush denorm,,,,40676782.0,ns,1032
Noise input,avx2 flush denorm,,,,40883807.0,ns,1056
Noise input,avx2 flush denorm,,,,41684966.0,ns,1080
Noise input,avx2 flush denorm,,,,43336406.0,ns,1104
Noise input,avx2 flush denorm,,,,43968583.0,ns,1128
Noise input,avx2 flush denorm,,,,44791204.0,ns,1152
Noise input,avx2 flush denorm,,,,45329591.0,ns,1176
Noise input,avx2 flush denorm,,,,46210951.0,ns,1200
Noise input,avx2 flush denorm,,,,47284870.0,ns,1224
Noise input,avx2 flush denorm,,,,48156213.0,ns,1248
Noise input,avx2 flush denorm,,,,49135316.0,ns,1272
Noise input,avx2 flush denorm,,,,50833507.0,ns,1296
Noise input,avx2 flush denorm,,,,51729298.0,ns,1320
Noise input,avx2 flush denorm,,,,53848276.0,ns,1344
Noise input,avx2 flush denorm,,,,53532681.0,ns,1368
Noise input,avx2 flush denorm,,,,54259334.0,ns,1392
Noise input,avx2 flush denorm,,,,55034423.0,ns,1416
Noise input,avx2 flush denorm,,,,57349727.0,ns,1440
Noise input,avx2 flush denorm,,,,56639244.0,ns,1464
Noise input,avx2 flush denorm,,,,57807341.0,ns,1488
Noise input,avx2 flush denorm,,,,58648791.0,ns,1512
Noise input,avx2 flush denorm,,,,60351375.0,ns,1536
Noise input,avx2 flush denorm,,,,60933662.0,ns,1560
Noise input,avx2 flush denorm,,,,61705952.0,ns,1584
Noise input,avx2 flush denorm,,,,62528707.0,ns,1608
Noise input,avx2 flush denorm,,,,63792746.0,ns,1632
Noise input,avx2 flush denorm,,,,64462714.0,ns,1656
Noise input,avx2 flush denorm,,,,66697251.0,ns,1680
Noise input,avx2 flush denorm,,,,67249662.0,ns,1704
Noise input,avx2 flush denorm,,,,67667399.0,ns,1728
Noise input,avx2 flush denorm,,,,68380399.0,ns,1752
Noise input,avx2 flush denorm,,,,69893338.0,ns,1776
Noise input,avx2 flush denorm,,,,70151135.0,ns,1800
Noise input,avx2 flush denorm,,,,72038005.0,ns,1824
Noise input,avx2 flush denorm,,,,73029455.0,ns,1848
Noise input,avx2 flush denorm,,,,73867311.0,ns,1872
Noise input,avx2 flush denorm,,,,74256615.0,ns,1896
Noise input,avx2 flush denorm,,,,75130828.0,ns,1920
Noise input,avx2 flush denorm,,,,77003981.0,ns,1944
Noise input,avx2 flush denorm,,,,76747959.0,ns,1968
Noise input,avx2 flush denorm,,,,78362388.0,ns,1992
Noise input,avx2 flush denorm,,,,79124736.0,ns,2016
Noise input,avx2 flush denorm,,,,80086172.0,ns,2040
Noise input,avx2 flush denorm,,,,81086034.0,ns,2064
Noise input,avx2 flush denorm,,,,81707271.0,ns,2088
Noise input,avx2 flush denorm,,,,82533569.0,ns,2112
Noise input,avx2 flush denorm,,,,83685711.0,ns,2136
Noise input,avx2 flush denorm,,,,83596611.0,ns,2160
Noise input,avx2 flush denorm,,,,85642027.0,ns,2184
Noise input,avx2 flush denorm,,,,85908757.0,ns,2208
Noise input,avx2 flush denorm,,,,88544484.0,ns,2232
Noise input,avx2 flush denorm,,,,87568830.0,ns,2256
Noise input,avx2 flush denorm,,,,88650290.0,ns,2280
Noise input,avx2 flush denorm,,,,89570838.0,ns,2304
Noise input,avx2 flush denorm,,,,90437674.0,ns,2328
Noise input,avx2 flush denorm,,,,91643182.0,ns,2352
Noise input,avx2 flush denorm,,,,92386988.0,ns,2376
Noise input,avx2 flush denorm,,,,93587566.0,ns,2400
