group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Noise input,avx2 with denorm,,,,943377.0,ns,19
Noise input,avx2 with denorm,,,,1872527.0,ns,38
Noise input,avx2 with denorm,,,,2971152.0,ns,57
Noise input,avx2 with denorm,,,,3855991.0,ns,76
Noise input,avx2 with denorm,,,,4650434.0,ns,95
Noise input,avx2 with denorm,,,,5600357.0,ns,114
Noise input,avx2 with denorm,,,,6671771.0,ns,133
Noise input,avx2 with denorm,,,,7364597.0,ns,152
Noise input,avx2 with denorm,,,,8480023.0,ns,171
Noise input,avx2 with denorm,,,,9290962.0,ns,190
Noise input,avx2 with denorm,,,,10141727.0,ns,209
Noise input,avx2 with denorm,,,,10959514.0,ns,228
Noise input,avx2 with denorm,,,,12201934.0,ns,247
Noise input,avx2 with denorm,,,,13088591.0,ns,266
Noise input,avx2 with denorm,,,,14008181.0,ns,285
Noise input,avx2 with denorm,,,,14718133.0,ns,304
Noise input,avx2 with denorm,,,,15626369.0,ns,323
Noise input,avx2 with denorm,,,,16611154.0,ns,342
Noise input,avx2 with denorm,,,,17635250.0,ns,361
Noise input,avx2 with denorm,,,,18668532.0,ns,380
Noise input,avx2 with denorm,,,,19339354.0,ns,399
Noise input,avx2 with denorm,,,,20322326.0,ns,418
Noise input,avx2 with denorm,,,,21031816.0,ns,437
Noise input,avx2 with denorm,,,,22199021.0,ns,456
Noise input,avx2 with denorm,,,,22998725.0,ns,475
Noise input,avx2 with denorm,,,,23791308.0,ns,494
Noise input,avx2 with denorm,,,,24712427.0,ns,513
Noise input,avx2 with denorm,,,,25796655.0,ns,532
Noise input,avx2 with denorm,,,,26713745.0,ns,551
Noise input,avx2 with denorm,,,,28315314.0,ns,570
Noise input,avx2 with denorm,,,,29046623.0,ns,589
Noise input,avx2 with denorm,,,,29852408.0,ns,608
Noise input,avx2 with denorm,,,,30690050.0,ns,627
Noise input,avx2 with denorm,,,,31478248.0,ns,646
Noise input,avx2 with denorm,,,,32572282.0,ns,665
Noise input,avx2 with denorm,,,,33260592.0,ns,684
Noise input,avx2 with denorm,,,,34175894.0,ns,703
Noise input,avx2 with denorm,,,,34998824.0,ns,722
Noise input,avx2 with denorm,,,,35893811.0,ns,741
Noise input,avx2 with denorm,,,,37189137.0,ns,760
Noise input,avx2 with denorm,,,,37832026.0,ns,779
Noise input,avx2 with denorm,,,,38862291.0,ns,798
Noise input,avx2 with denorm,,,,39922584.0,ns,817
Noise input,avx2 with denorm,,,,40525739.0,ns,836
Noise input,avx2 with denorm,,,,41738711.0,ns,855
Noise input,avx2 with denorm,,,,42682780.0,ns,874
Noise input,avx2 with denorm,,,,43565534.0,ns,893
Noise input,avx2 with denorm,,,,44540966.0,ns,912
Noise input,avx2 with denorm,,,,45282044.0,ns,931
