group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Noise input,avx2 with denorm,,,,957719.0,ns,24
Noise input,avx2 with denorm,,,,1908230.0,ns,48
Noise input,avx2 with denorm,,,,2896275.0,ns,72
Noise input,avx2 with denorm,,,,3857384.0,ns,96
Noise input,avx2 with denorm,,,,4661835.0,ns,120
Noise input,avx2 with denorm,,,,5595885.0,ns,144
Noise input,avx2 with denorm,,,,6733141.0,ns,168
Noise input,avx2 with denorm,,,,7909096.0,ns,192
Noise input,avx2 with denorm,,,,8461286.0,ns,216
Noise input,avx2 with denorm,,,,9280319.0,ns,240
Noise input,avx2 with denorm,,,,10105740.0,ns,264
Noise input,avx2 with denorm,,,,11059473.0,ns,288
Noise input,avx2 with denorm,,,,12021247.0,ns,312
Noise input,avx2 with denorm,,,,12985476.0,ns,336
Noise input,avx2 with denorm,,,,14146464.0,ns,360
Noise input,avx2 with denorm,,,,14896427.0,ns,384
Noise input,avx2 with denorm,,,,15901038.0,ns,408
Noise input,avx2 with denorm,,,,16591300.0,ns,432
Noise input,avx2 with denorm,,,,17606904.0,ns,456
Noise input,avx2 with denorm,,,,18943714.0,ns,480
Noise input,avx2 with denorm,,,,19709256.0,ns,504
Noise input,avx2 with denorm,,,,20385026.0,ns,528
Noise input,avx2 with denorm,,,,21135566.0,ns,552
Noise input,avx2 with denorm,,,,22164645.0,ns,576
Noise input,avx2 with denorm,,,,23116565.0,ns,600
Noise input,avx2 with denorm,,,,24241546.0,ns,624
Noise input,avx2 with denorm,,,,24915451.0,ns,648
Noise input,avx2 with denorm,,,,25991446.0,ns,672
Noise input,avx2 with denorm,,,,26957337.0,ns,696
Noise input,avx2 with denorm,,,,27911223.0,ns,720
Noise input,avx2 with denorm,,,,28624532.0,ns,744
Noise input,avx2 with denorm,,,,29497027.0,ns,768
Noise input,avx2 with denorm,,,,30738646.0,ns,792
Noise input,avx2 with denorm,,,,31658693.0,ns,816
Noise input,avx2 with denorm,,,,32420585.0,ns,840
Noise input,avx2 with denorm,,,,33372876.0,ns,864
Noise input,avx2 with denorm,,,,34535239.0,ns,888
Noise input,avx2 with denorm,,,,35535021.0,ns,912
Noise input,avx2 with denorm,,,,36134795.0,ns,936
Noise input,avx2 with denorm,,,,37401424.0,ns,960
Noise input,avx2 with denorm,,,,38325336.0,ns,984
Noise input,avx2 with denorm,,,,39492214.0,ns,1008
Noise input,avx2 with denorm,,,,40221768.0,ns,1032
Noise input,avx2 with denorm,,,,40768354.0,ns,1056
Noise input,avx2 with denorm,,,,42226605.0,ns,1080
Noise input,avx2 with denorm,,,,43275663.0,ns,1104
Noise input,avx2 with denorm,,,,43742381.0,ns,1128
Noise input,avx2 with denorm,,,,44793780.0,ns,1152
Noise input,avx2 with denorm,,,,45788015.0,ns,1176
Noise input,avx2 with denorm,,,,46087914.0,ns,1200
Noise input,avx2 with denorm,,,,47464007.0,ns,1224
Noise input,avx2 with denorm,,,,48425274.0,ns,1248
Noise input,avx2 with denorm,,,,48908618.0,ns,1272
Noise input,avx2 with denorm,,,,50032055.0,ns,1296
Noise input,avx2 with denorm,,,,51110361.0,ns,1320
Noise input,avx2 with denorm,,,,52446249.0,ns,1344
Noise input,avx2 with denorm,,,,52699817.0,ns,1368
Noise input,avx2 with denorm,,,,54923978.0,ns,1392
Noise input,avx2 with denorm,,,,54883068.0,ns,1416
Noise input,avx2 with denorm,,,,55413343.0,ns,1440
Noise input,avx2 with denorm,,,,56489545.0,ns,1464
Noise input,avx2 with denorm,,,,57173234.0,ns,1488
Noise input,avx2 with denorm,,,,58268667.0,ns,1512
Noise input,avx2 with denorm,,,,58911060.0,ns,1536
Noise input,avx2 with denorm,,,,60520628.0,ns,1560
Noise input,avx2 with denorm,,,,63235798.0,ns,1584
Noise input,avx2 with denorm,,,,62347683.0,ns,1608
Noise input,avx2 with denorm,,,,62946001.0,ns,1632
Noise input,avx2 with denorm,,,,63692788.0,ns,1656
Noise input,avx2 with denorm,,,,65360345.0,ns,1680
Noise input,avx2 with denorm,,,,66393591.0,ns,1704
Noise input,avx2 with denorm,,,,66343762.0,ns,1728
Noise input,avx2 with denorm,,,,68052094.0,ns,1752
Noise input,avx2 with denorm,,,,68810826.0,ns,1776
Noise input,avx2 with denorm,,,,70270015.0,ns,1800
Noise input,avx2 with denorm,,,,70621431.0,ns,1824
Noise input,avx2 with denorm,,,,71354252.0,ns,1848
Noise input,avx2 with denorm,,,,72770410.0,ns,1872
Noise input,avx2 with denorm,,,,73265454.0,ns,1896
Noise input,avx2 with denorm,,,,74236613.0,ns,1920
Noise input,avx2 with denorm,,,,75247626.0,ns,1944
Noise input,avx2 with denorm,,,,76650222.0,ns,1968
Noise input,avx2 with denorm,,,,77803547.0,ns,1992
Noise input,avx2 with denorm,,,,77458422.0,ns,2016
Noise input,avx2 with denorm,,,,79409260.0,ns,2040
Noise input,avx2 with denorm,,,,79536897.0,ns,2064
Noise input,avx2 with denorm,,,,80715349.0,ns,2088
Noise input,avx2 with denorm,,,,82939143.0,ns,2112
Noise input,avx2 with denorm,,,,84087608.0,ns,2136
Noise input,avx2 with denorm,,,,83705377.0,ns,2160
Noise input,avx2 with denorm,,,,85719417.0,ns,2184
Noise input,avx2 with denorm,,,,85336787.0,ns,2208
Noise input,avx2 with denorm,,,,85804853.0,ns,2232
Noise input,avx2 with denorm,,,,87408611.0,ns,2256
Noise input,avx2 with denorm,,,,89075333.0,ns,2280
Noise input,avx2 with denorm,,,,89549807.0,ns,2304
Noise input,avx2 with denorm,,,,89800957.0,ns,2328
Noise input,avx2 with denorm,,,,92016557.0,ns,2352
Noise input,avx2 with denorm,,,,92007019.0,ns,2376
Noise input,avx2 with denorm,,,,93116997.0,ns,2400
