group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Noise input,f32 flush denorm,,,,1203002.0,ns,3
Noise input,f32 flush denorm,,,,2542102.0,ns,6
Noise input,f32 flush denorm,,,,3701016.0,ns,9
Noise input,f32 flush denorm,,,,4901078.0,ns,12
Noise input,f32 flush denorm,,,,6102292.0,ns,15
Noise input,f32 flush denorm,,,,7271523.0,ns,18
Noise input,f32 flush denorm,,,,8599113.0,ns,21
Noise input,f32 flush denorm,,,,9733860.0,ns,24
Noise input,f32 flush denorm,,,,10872794.0,ns,27
Noise input,f32 flush denorm,,,,12057475.0,ns,30
Noise input,f32 flush denorm,,,,13189524.0,ns,33
Noise input,f32 flush denorm,,,,14539240.0,ns,36
Noise input,f32 flush denorm,,,,15658254.0,ns,39
Noise input,f32 flush denorm,,,,17171477.0,ns,42
Noise input,f32 flush denorm,,,,18215839.0,ns,45
Noise input,f32 flush denorm,,,,19387667.0,ns,48
Noise input,f32 flush denorm,,,,20508932.0,ns,51
Noise input,f32 flush denorm,,,,21708749.0,ns,54
Noise input,f32 flush denorm,,,,22849931.0,ns,57
Noise input,f32 flush denorm,,,,24016197.0,ns,60
Noise input,f32 flush denorm,,,,25232260.0,ns,63
Noise input,f32 flush denorm,,,,26402954.0,ns,66
Noise input,f32 flush denorm,,,,27571215.0,ns,69
Noise input,f32 flush denorm,,,,28734699.0,ns,72
Noise input,f32 flush denorm,,,,30123791.0,ns,75
Noise input,f32 flush denorm,,,,31409199.0,ns,78
Noise input,f32 flush denorm,,,,32143106.0,ns,81
Noise input,f32 flush denorm,,,,33804709.0,ns,84
Noise input,f32 flush denorm,,,,34787074.0,ns,87
Noise input,f32 flush denorm,,,,36024947.0,ns,90
Noise input,f32 flush denorm,,,,37365705.0,ns,93
Noise input,f32 flush denorm,,,,39083389.0,ns,96
Noise input,f32 flush denorm,,,,39556818.0,ns,99
Noise input,f32 flush denorm,,,,40922291.0,ns,102
Noise input,f32 flush denorm,,,,42096352.0,ns,105
Noise input,f32 flush denorm,,,,43329304.0,ns,108
Noise input,f32 flush denorm,,,,44320082.0,ns,111
Noise input,f32 flush denorm,,,,45832239.0,ns,114
Noise input,f32 flush denorm,,,,46877366.0,ns,117
Noise input,f32 flush denorm,,,,47951745.0,ns,120
Noise input,f32 flush denorm,,,,49295755.0,ns,123
Noise input,f32 flush denorm,,,,50502978.0,ns,126
Noise input,f32 flush denorm,,,,52397817.0,ns,129
Noise input,f32 flush denorm,,,,53000853.0,ns,132
Noise input,f32 flush denorm,,,,54029273.0,ns,135
Noise input,f32 flush denorm,,,,55517571.0,ns,138
Noise input,f32 flush denorm,,,,57103706.0,ns,141
Noise input,f32 flush denorm,,,,58219926.0,ns,144
Noise input,f32 flush denorm,,,,58960897.0,ns,147
Noise input,f32 flush denorm,,,,60264975.0,ns,150
Noise input,f32 flush denorm,,,,62203652.0,ns,153
Noise input,f32 flush denorm,,,,63485147.0,ns,156
Noise input,f32 flush denorm,,,,64333785.0,ns,159
Noise input,f32 flush denorm,,,,64966516.0,ns,162
Noise input,f32 flush denorm,,,,66184241.0,ns,165
Noise input,f32 flush denorm,,,,67186972.0,ns,168
Noise input,f32 flush denorm,,,,68584812.0,ns,171
Noise input,f32 flush denorm,,,,69611437.0,ns,174
Noise input,f32 flush denorm,,,,71868698.0,ns,177
Noise input,f32 flush denorm,,,,72398468.0,ns,180
Noise input,f32 flush denorm,,,,73620280.0,ns,183
Noise input,f32 flush denorm,,,,74420149.0,ns,186
Noise input,f32 flush denorm,,,,75875363.0,ns,189
Noise input,f32 flush denorm,,,,76931541.0,ns,192
Noise input,f32 flush denorm,,,,78271530.0,ns,195
Noise input,f32 flush denorm,,,,80040676.0,ns,198
Noise input,f32 flush denorm,,,,80537744.0,ns,201
Noise input,f32 flush denorm,,,,81506667.0,ns,204
Noise input,f32 flush denorm,,,,83055083.0,ns,207
Noise input,f32 flush denorm,,,,83786681.0,ns,210
Noise input,f32 flush denorm,,,,84953250.0,ns,213
Noise input,f32 flush denorm,,,,87253576.0,ns,216
Noise input,f32 flush denorm,,,,88161598.0,ns,219
Noise input,f32 flush denorm,,,,89158623.0,ns,222
Noise input,f32 flush denorm,,,,89860300.0,ns,225
Noise input,f32 flush denorm,,,,91335627.0,ns,228
Noise input,f32 flush denorm,,,,92901352.0,ns,231
Noise input,f32 flush denorm,,,,94037695.0,ns,234
Noise input,f32 flush denorm,,,,95131887.0,ns,237
Noise input,f32 flush denorm,,,,95810383.0,ns,240
Noise input,f32 flush denorm,,,,97066797.0,ns,243
Noise input,f32 flush denorm,,,,99213272.0,ns,246
Noise input,f32 flush denorm,,,,99993764.0,ns,249
Noise input,f32 flush denorm,,,,100981449.0,ns,252
Noise input,f32 flush denorm,,,,102207418.0,ns,255
Noise input,f32 flush denorm,,,,103537347.0,ns,258
Noise input,f32 flush denorm,,,,105118868.0,ns,261
Noise input,f32 flush denorm,,,,106011955.0,ns,264
Noise input,f32 flush denorm,,,,107015576.0,ns,267
Noise input,f32 flush denorm,,,,108161479.0,ns,270
Noise input,f32 flush denorm,,,,109225540.0,ns,273
Noise input,f32 flush denorm,,,,112503086.0,ns,276
Noise input,f32 flush denorm,,,,112078613.0,ns,279
Noise input,f32 flush denorm,,,,113416703.0,ns,282
Noise input,f32 flush denorm,,,,114975833.0,ns,285
Noise input,f32 flush denorm,,,,115990875.0,ns,288
Noise input,f32 flush denorm,,,,116643873.0,ns,291
Noise input,f32 flush denorm,,,,117880902.0,ns,294
Noise input,f32 flush denorm,,,,118823953.0,ns,297
Noise input,f32 flush denorm,,,,120630139.0,ns,300
