group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Noise input,f32 with denorm,,,,1204759.0,ns,3
Noise input,f32 with denorm,,,,2475655.0,ns,6
Noise input,f32 with denorm,,,,3836081.0,ns,9
Noise input,f32 with denorm,,,,4778296.0,ns,12
Noise input,f32 with denorm,,,,5953580.0,ns,15
Noise input,f32 with denorm,,,,7378579.0,ns,18
Noise input,f32 with denorm,,,,8532759.0,ns,21
Noise input,f32 with denorm,,,,9738476.0,ns,24
Noise input,f32 with denorm,,,,10983009.0,ns,27
Noise input,f32 with denorm,,,,11998842.0,ns,30
Noise input,f32 with denorm,,,,13306580.0,ns,33
Noise input,f32 with denorm,,,,14541636.0,ns,36
Noise input,f32 with denorm,,,,15616118.0,ns,39
Noise input,f32 with denorm,,,,17009793.0,ns,42
Noise input,f32 with denorm,,,,18038573.0,ns,45
Noise input,f32 with denorm,,,,19080539.0,ns,48
Noise input,f32 with denorm,,,,20381595.0,ns,51
Noise input,f32 with denorm,,,,21696170.0,ns,54
Noise input,f32 with denorm,,,,23488469.0,ns,57
Noise input,f32 with denorm,,,,24299598.0,ns,60
Noise input,f32 with denorm,,,,25230518.0,ns,63
Noise input,f32 with denorm,,,,26528297.0,ns,66
Noise input,f32 with denorm,,,,27568608.0,ns,69
Noise input,f32 with denorm,,,,28878511.0,ns,72
Noise input,f32 with denorm,,,,30108401.0,ns,75
Noise input,f32 with denorm,,,,31290040.0,ns,78
Noise input,f32 with denorm,,,,32950931.0,ns,81
Noise input,f32 with denorm,,,,34047351.0,ns,84
Noise input,f32 with denorm,,,,34828419.0,ns,87
Noise input,f32 with denorm,,,,36120260.0,ns,90
Noise input,f32 with denorm,,,,37401273.0,ns,93
Noise input,f32 with denorm,,,,38319006.0,ns,96
Noise input,f32 with denorm,,,,39642059.0,ns,99
Noise input,f32 with denorm,,,,40833222.0,ns,102
Noise input,f32 with denorm,,,,41997871.0,ns,105
Noise input,f32 with denorm,,,,43426816.0,ns,108
Noise input,f32 with denorm,,,,44727608.0,ns,111
Noise input,f32 with denorm,,,,46161726.0,ns,114
Noise input,f32 with denorm,,,,47326833.0,ns,117
Noise input,f32 with denorm,,,,48661297.0,ns,120
Noise input,f32 with denorm,,,,49794632.0,ns,123
Noise input,f32 with denorm,,,,50735448.0,ns,126
Noise input,f32 with denorm,,,,51788682.0,ns,129
Noise input,f32 with denorm,,,,53132299.0,ns,132
Noise input,f32 with denorm,,,,53992408.0,ns,135
Noise input,f32 with denorm,,,,55523809.0,ns,138
Noise input,f32 with denorm,,,,56869586.0,ns,141
Noise input,f32 with denorm,,,,57578087.0,ns,144
Noise input,f32 with denorm,,,,59615440.0,ns,147
Noise input,f32 with denorm,,,,60223985.0,ns,150
Noise input,f32 with denorm,,,,61292121.0,ns,153
Noise input,f32 with denorm,,,,62539041.0,ns,156
Noise input,f32 with denorm,,,,64021830.0,ns,159
Noise input,f32 with denorm,,,,65040341.0,ns,162
Noise input,f32 with denorm,,,,66470927.0,ns,165
Noise input,f32 with denorm,,,,67411975.0,ns,168
Noise input,f32 with denorm,,,,69348336.0,ns,171
Noise input,f32 with denorm,,,,70412608.0,ns,174
Noise input,f32 with denorm,,,,73050389.0,ns,177
Noise input,f32 with denorm,,,,72838707.0,ns,180
Noise input,f32 with denorm,,,,73479923.0,ns,183
Noise input,f32 with denorm,,,,74357414.0,ns,186
Noise input,f32 with denorm,,,,75517066.0,ns,189
Noise input,f32 with denorm,,,,77268814.0,ns,192
Noise input,f32 with denorm,,,,78292354.0,ns,195
Noise input,f32 with denorm,,,,79068012.0,ns,198
Noise input,f32 with denorm,,,,80390557.0,ns,201
Noise input,f32 with denorm,,,,81361521.0,ns,204
Noise input,f32 with denorm,,,,82647642.0,ns,207
Noise input,f32 with denorm,,,,84641378.0,ns,210
Noise input,f32 with denorm,,,,85450586.0,ns,213
Noise input,f32 with denorm,,,,86456230.0,ns,216
Noise input,f32 with denorm,,,,87551392.0,ns,219
Noise input,f32 with denorm,,,,88842742.0,ns,222
Noise input,f32 with denorm,,,,90529163.0,ns,225
Noise input,f32 with denorm,,,,91832254.0,ns,228
Noise input,f32 with denorm,,,,92552780.0,ns,231
Noise input,f32 with denorm,,,,93653805.0,ns,234
Noise input,f32 with denorm,,,,94938178.0,ns,237
Noise input,f32 with denorm,,,,96304192.0,ns,240
Noise input,f32 with denorm,,,,97682958.0,ns,243
Noise input,f32 with denorm,,,,98788799.0,ns,246
Noise input,f32 with denorm,,,,99961672.0,ns,249
Noise input,f32 with denorm,,,,102363681.0,ns,252
Noise input,f32 with denorm,,,,103154875.0,ns,255
Noise input,f32 with denorm,,,,104829777.0,ns,258
Noise input,f32 with denorm,,,,105323035.0,ns,261
Noise input,f32 with denorm,,,,106923183.0,ns,264
Noise input,f32 with denorm,,,,109542827.0,ns,267
Noise input,f32 with denorm,,,,110229474.0,ns,270
Noise input,f32 with denorm,,,,110300303.0,ns,273
Noise input,f32 with denorm,,,,111009115.0,ns,276
Noise input,f32 with denorm,,,,111964022.0,ns,279
Noise input,f32 with denorm,,,,113426343.0,ns,282
Noise input,f32 with denorm,,,,114806127.0,ns,285
Noise input,f32 with denorm,,,,116230878.0,ns,288
Noise input,f32 with denorm,,,,117418620.0,ns,291
Noise input,f32 with denorm,,,,118672276.0,ns,294
Noise input,f32 with denorm,,,,119490233.0,ns,297
Noise input,f32 with denorm,,,,120126138.0,ns,300
