group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Noise input,f32 with denorm,,,,1225145.0,ns,3
Noise input,f32 with denorm,,,,2441624.0,ns,6
Noise input,f32 with denorm,,,,3729046.0,ns,9
Noise input,f32 with denorm,,,,4846724.0,ns,12
Noise input,f32 with denorm,,,,6170852.0,ns,15
Noise input,f32 with denorm,,,,7582192.0,ns,18
Noise input,f32 with denorm,,,,8504940.0,ns,21
Noise input,f32 with denorm,,,,9853058.0,ns,24
Noise input,f32 with denorm,,,,10860095.0,ns,27
Noise input,f32 with denorm,,,,12023322.0,ns,30
Noise input,f32 with denorm,,,,13093984.0,ns,33
Noise input,f32 with denorm,,,,14371675.0,ns,36
Noise input,f32 with denorm,,,,15644835.0,ns,39
Noise input,f32 with denorm,,,,16837124.0,ns,42
Noise input,f32 with denorm,,,,18160732.0,ns,45
Noise input,f32 with denorm,,,,19190543.0,ns,48
Noise input,f32 with denorm,,,,20438406.0,ns,51
Noise input,f32 with denorm,,,,21470811.0,ns,54
Noise input,f32 with denorm,,,,22732128.0,ns,57
Noise input,f32 with denorm,,,,24216593.0,ns,60
Noise input,f32 with denorm,,,,25296908.0,ns,63
Noise input,f32 with denorm,,,,26336327.0,ns,66
Noise input,f32 with denorm,,,,27534808.0,ns,69
Noise input,f32 with denorm,,,,28767296.0,ns,72
Noise input,f32 with denorm,,,,30063451.0,ns,75
Noise input,f32 with denorm,,,,31321255.0,ns,78
Noise input,f32 with denorm,,,,32452509.0,ns,81
Noise input,f32 with denorm,,,,33632166.0,ns,84
Noise input,f32 with denorm,,,,34800565.0,ns,87
Noise input,f32 with denorm,,,,36138469.0,ns,90
Noise input,f32 with denorm,,,,37512306.0,ns,93
Noise input,f32 with denorm,,,,38655595.0,ns,96
Noise input,f32 with denorm,,,,39644561.0,ns,99
Noise input,f32 with denorm,,,,41229635.0,ns,102
Noise input,f32 with denorm,,,,42014697.0,ns,105
Noise input,f32 with denorm,,,,43412570.0,ns,108
Noise input,f32 with denorm,,,,44516806.0,ns,111
Noise input,f32 with denorm,,,,45673673.0,ns,114
Noise input,f32 with denorm,,,,46794819.0,ns,117
Noise input,f32 with denorm,,,,48158786.0,ns,120
Noise input,f32 with denorm,,,,49304729.0,ns,123
Noise input,f32 with denorm,,,,50673286.0,ns,126
Noise input,f32 with denorm,,,,51597212.0,ns,129
Noise input,f32 with denorm,,,,52824530.0,ns,132
Noise input,f32 with denorm,,,,55500259.0,ns,135
Noise input,f32 with denorm,,,,55274350.0,ns,138
Noise input,f32 with denorm,,,,56492591.0,ns,141
Noise input,f32 with denorm,,,,57785998.0,ns,144
Noise input,f32 with denorm,,,,58726443.0,ns,147
Noise input,f32 with denorm,,,,60090043.0,ns,150
Noise input,f32 with denorm,,,,61034835.0,ns,153
Noise input,f32 with denorm,,,,62639617.0,ns,156
Noise input,f32 with denorm,,,,63927053.0,ns,159
Noise input,f32 with denorm,,,,65084190.0,ns,162
Noise input,f32 with denorm,,,,67252723.0,ns,165
Noise input,f32 with denorm,,,,68119727.0,ns,168
Noise input,f32 with denorm,,,,68660725.0,ns,171
Noise input,f32 with denorm,,,,69404469.0,ns,174
Noise input,f32 with denorm,,,,71471672.0,ns,177
Noise input,f32 with denorm,,,,72671143.0,ns,180
Noise input,f32 with denorm,,,,73521691.0,ns,183
Noise input,f32 with denorm,,,,74042050.0,ns,186
Noise input,f32 with denorm,,,,75441685.0,ns,189
Noise input,f32 with denorm,,,,76870779.0,ns,192
Noise input,f32 with denorm,,,,77886982.0,ns,195
Noise input,f32 with denorm,,,,79256545.0,ns,198
Noise input,f32 with denorm,,,,80931539.0,ns,201
Noise input,f32 with denorm,,,,82032564.0,ns,204
Noise input,f32 with denorm,,,,82969029.0,ns,207
Noise input,f32 with denorm,,,,83722181.0,ns,210
Noise input,f32 with denorm,,,,85421399.0,ns,213
Noise input,f32 with denorm,,,,86635252.0,ns,216
Noise input,f32 with denorm,,,,88355744.0,ns,219
Noise input,f32 with denorm,,,,88870281.0,ns,222
Noise input,f32 with denorm,,,,89977687.0,ns,225
Noise input,f32 with denorm,,,,93129473.0,ns,228
Noise input,f32 with denorm,,,,92834566.0,ns,231
Noise input,f32 with denorm,,,,93551665.0,ns,234
Noise input,f32 with denorm,,,,95188231.0,ns,237
Noise input,f32 with denorm,,,,96574216.0,ns,240
Noise input,f32 with denorm,,,,97549926.0,ns,243
Noise input,f32 with denorm,,,,98240763.0,ns,246
Noise input,f32 with denorm,,,,99388487.0,ns,249
Noise input,f32 with denorm,,,,100666165.0,ns,252
Noise input,f32 with denorm,,,,102189617.0,ns,255
Noise input,f32 with denorm,,,,103146764.0,ns,258
Noise input,f32 with denorm,,,,104337864.0,ns,261
Noise input,f32 with denorm,,,,106036456.0,ns,264
Noise input,f32 with denorm,,,,107421197.0,ns,267
Noise input,f32 with denorm,,,,108789205.0,ns,270
Noise input,f32 with denorm,,,,109927774.0,ns,273
Noise input,f32 with denorm,,,,111234842.0,ns,276
Noise input,f32 with denorm,,,,112615083.0,ns,279
Noise input,f32 with denorm,,,,113715060.0,ns,282
Noise input,f32 with denorm,,,,114150371.0,ns,285
Noise input,f32 with denorm,,,,115565914.0,ns,288
Noise input,f32 with denorm,,,,116775139.0,ns,291
Noise input,f32 with denorm,,,,117852176.0,ns,294
Noise input,f32 with denorm,,,,119262759.0,ns,297
Noise input,f32 with denorm,,,,120060229.0,ns,300
