group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Noise input,sse2 flush denorm,,,,981333.0,ns,17
Noise input,sse2 flush denorm,,,,1971277.0,ns,34
Noise input,sse2 flush denorm,,,,3193299.0,ns,51
Noise input,sse2 flush denorm,,,,3938030.0,ns,68
Noise input,sse2 flush denorm,,,,5201112.0,ns,85
Noise input,sse2 flush denorm,,,,6296103.0,ns,102
Noise input,sse2 flush denorm,,,,6959189.0,ns,119
Noise input,sse2 flush denorm,,,,7842932.0,ns,136
Noise input,sse2 flush denorm,,,,8823567.0,ns,153
Noise input,sse2 flush denorm,,,,9802235.0,ns,170
Noise input,sse2 flush denorm,,,,10750015.0,ns,187
Noise input,sse2 flush denorm,,,,12190107.0,ns,204
Noise input,sse2 flush denorm,,,,13115922.0,ns,221
Noise input,sse2 flush denorm,,,,13722206.0,ns,238
Noise input,sse2 flush denorm,,,,14585970.0,ns,255
Noise input,sse2 flush denorm,,,,15822220.0,ns,272
Noise input,sse2 flush denorm,,,,16618450.0,ns,289
Noise input,sse2 flush denorm,,,,17442237.0,ns,306
Noise input,sse2 flush denorm,,,,18515093.0,ns,323
Noise input,sse2 flush denorm,,,,19547212.0,ns,340
Noise input,sse2 flush denorm,,,,20450268.0,ns,357
Noise input,sse2 flush denorm,,,,21429270.0,ns,374
Noise input,sse2 flush denorm,,,,22345123.0,ns,391
Noise input,sse2 flush denorm,,,,23381173.0,ns,408
Noise input,sse2 flush denorm,,,,24457031.0,ns,425
Noise input,sse2 flush denorm,,,,25273090.0,ns,442
Noise input,sse2 flush denorm,,,,28046566.0,ns,459
Noise input,sse2 flush denorm,,,,27135138.0,ns,476
Noise input,sse2 flush denorm,,,,28173985.0,ns,493
Noise input,sse2 flush denorm,,,,29168560.0,ns,510
Noise input,sse2 flush denorm,,,,31222805.0,ns,527
Noise input,sse2 flush denorm,,,,31575990.0,ns,544
Noise input,sse2 flush denorm,,,,31818489.0,ns,561
Noise input,sse2 flush denorm,,,,33151085.0,ns,578
Noise input,sse2 flush denorm,,,,35447050.0,ns,595
Noise input,sse2 flush denorm,,,,35739196.0,ns,612
Noise input,sse2 flush denorm,,,,36178589.0,ns,629
Noise input,sse2 flush denorm,,,,37154657.0,ns,646
Noise input,sse2 flush denorm,,,,38166504.0,ns,663
Noise input,sse2 flush denorm,,,,38888247.0,ns,680
Noise input,sse2 flush denorm,,,,40125072.0,ns,697
Noise input,sse2 flush denorm,,,,40715340.0,ns,714
Noise input,sse2 flush denorm,,,,41904576.0,ns,731
Noise input,sse2 flush denorm,,,,43229493.0,ns,748
Noise input,sse2 flush denorm,,,,43858611.0,ns,765
Noise input,sse2 flush denorm,,,,45159952.0,ns,782
Noise input,sse2 flush denorm,,,,45878311.0,ns,799
Noise input,sse2 flush denorm,,,,46894467.0,ns,816
Noise input,sse2 flush denorm,,,,48605823.0,ns,833
Noise input,sse2 flush denorm,,,,49006823.0,ns,850
Noise input,sse2 flush denorm,,,,49621256.0,ns,867
Noise input,sse2 flush denorm,,,,50841989.0,ns,884
Noise input,sse2 flush denorm,,,,52036247.0,ns,901
Noise input,sse2 flush denorm,,,,53142311.0,ns,918
Noise input,sse2 flush denorm,,,,53658670.0,ns,935
Noise input,sse2 flush denorm,,,,54786852.0,ns,952
Noise input,sse2 flush denorm,,,,55572234.0,ns,969
Noise input,sse2 flush denorm,,,,56715900.0,ns,986
Noise input,sse2 flush denorm,,,,57568919.0,ns,1003
Noise input,sse2 flush denorm,,,,59331958.0,ns,1020
Noise input,sse2 flush denorm,,,,60077468.0,ns,1037
Noise input,sse2 flush denorm,,,,60034332.0,ns,1054
Noise input,sse2 flush denorm,,,,63893683.0,ns,1071
Noise input,sse2 flush denorm,,,,62477586.0,ns,1088
Noise input,sse2 flush denorm,,,,63564751.0,ns,1105
Noise input,sse2 flush denorm,,,,64196303.0,ns,1122
Noise input,sse2 flush denorm,,,,64901559.0,ns,1139
Noise input,sse2 flush denorm,,,,66007143.0,ns,1156
Noise input,sse2 flush denorm,,,,66987768.0,ns,1173
Noise input,sse2 flush denorm,,,,68482406.0,ns,1190
Noise input,sse2 flush denorm,,,,69143655.0,ns,1207
Noise input,sse2 flush denorm,,,,71360336.0,ns,1224
Noise input,sse2 flush denorm,,,,71329884.0,ns,1241
Noise input,sse2 flush denorm,,,,72333203.0,ns,1258
Noise input,sse2 flush denorm,,,,72985576.0,ns,1275
Noise input,sse2 flush denorm,,,,75952805.0,ns,1292
Noise input,sse2 flush denorm,,,,76863984.0,ns,1309
Noise input,sse2 flush denorm,,,,76186364.0,ns,1326
Noise input,sse2 flush denorm,,,,78006259.0,ns,1343
Noise input,sse2 flush denorm,,,,78061941.0,ns,1360
Noise input,sse2 flush denorm,,,,79026864.0,ns,1377
Noise input,sse2 flush denorm,,,,80472188.0,ns,1394
Noise input,sse2 flush denorm,,,,80847116.0,ns,1411
Noise input,sse2 flush denorm,,,,81724338.0,ns,1428
Noise input,sse2 flush denorm,,,,83122816.0,ns,1445
Noise input,sse2 flush denorm,,,,83393098.0,ns,1462
Noise input,sse2 flush denorm,,,,84524306.0,ns,1479
Noise input,sse2 flush denorm,,,,85286389.0,ns,1496
Noise input,sse2 flush denorm,,,,88832613.0,ns,1513
Noise input,sse2 flush denorm,,,,88016513.0,ns,1530
Noise input,sse2 flush denorm,,,,89016290.0,ns,1547
Noise input,sse2 flush denorm,,,,90439306.0,ns,1564
Noise input,sse2 flush denorm,,,,90263452.0,ns,1581
Noise input,sse2 flush denorm,,,,91579935.0,ns,1598
Noise input,sse2 flush denorm,,,,92488289.0,ns,1615
Noise input,sse2 flush denorm,,,,93867036.0,ns,1632
Noise input,sse2 flush denorm,,,,95900184.0,ns,1649
Noise input,sse2 flush denorm,,,,96723217.0,ns,1666
Noise input,sse2 flush denorm,,,,96489273.0,ns,1683
Noise input,sse2 flush denorm,,,,97792527.0,ns,1700
