group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Noise input,sse2 with denorm,,,,1025602.0,ns,17
Noise input,sse2 with denorm,,,,1978477.0,ns,34
Noise input,sse2 with denorm,,,,3156189.0,ns,51
Noise input,sse2 with denorm,,,,3904353.0,ns,68
Noise input,sse2 with denorm,,,,5065700.0,ns,85
Noise input,sse2 with denorm,,,,5963047.0,ns,102
Noise input,sse2 with denorm,,,,6952535.0,ns,119
Noise input,sse2 with denorm,,,,7784855.0,ns,136
Noise input,sse2 with denorm,,,,9074833.0,ns,153
Noise input,sse2 with denorm,,,,10024346.0,ns,170
Noise input,sse2 with denorm,,,,10766677.0,ns,187
Noise input,sse2 with denorm,,,,12000660.0,ns,204
Noise input,sse2 with denorm,,,,13043214.0,ns,221
Noise input,sse2 with denorm,,,,13835535.0,ns,238
Noise input,sse2 with denorm,,,,14674954.0,ns,255
Noise input,sse2 with denorm,,,,15645500.0,ns,272
Noise input,sse2 with denorm,,,,16413144.0,ns,289
Noise input,sse2 with denorm,,,,17618938.0,ns,306
Noise input,sse2 with denorm,,,,18718027.0,ns,323
Noise input,sse2 with denorm,,,,19537309.0,ns,340
Noise input,sse2 with denorm,,,,20506730.0,ns,357
Noise input,sse2 with denorm,,,,21514812.0,ns,374
Noise input,sse2 with denorm,,,,22603005.0,ns,391
Noise input,sse2 with denorm,,,,24107971.0,ns,408
Noise input,sse2 with denorm,,,,24556846.0,ns,425
Noise input,sse2 with denorm,,,,25397621.0,ns,442
Noise input,sse2 with denorm,,,,26406202.0,ns,459
Noise input,sse2 with denorm,,,,27266835.0,ns,476
Noise input,sse2 with denorm,,,,28514485.0,ns,493
Noise input,sse2 with denorm,,,,29082293.0,ns,510
Noise input,sse2 with denorm,,,,30030665.0,ns,527
Noise input,sse2 with denorm,,,,31601926.0,ns,544
Noise input,sse2 with denorm,,,,32924549.0,ns,561
Noise input,sse2 with denorm,,,,33592122.0,ns,578
Noise input,sse2 with denorm,,,,34302568.0,ns,595
Noise input,sse2 with denorm,,,,35330142.0,ns,612
